"УИК №77"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №453"	
170	2901	750	2405	858	1894	2888	1971	2309	2235	1312	2675	1762	1231	2705	2234	1618	1994	1180	2434	2072	1840	1626	1197	1599	2069	2669	2003	1460	2879	2199	3203	3046	2105	2193	2181	3442	2783	3086	2964	2803	2626	2412	1733	2007	2201	2480	2296	2553	2396	2138	1960	2643	2394	2634	2704	2597	2874	3061	2620	2518	2794	2920	2711	2688	2372	1831	2221	2797	2462	2532	2781	3012	3182	2291	2898	2135	2250	2677	3151	1420	3229	1320	2951	200	200	54	390	2082	
170	2300	700	2100	800	1800	2700	1800	2000	2000	1100	2100	1600	1100	2600	2100	1500	1800	1100	2200	2000	1800	1400	1000	1300	1800	2300	1700	1400	2700	1900	2800	2500	2000	2000	1900	2400	2700	2300	2600	2400	2400	2200	1600	1800	2000	2200	2000	2300	2200	1900	1700	2400	2200	2200	2300	2300	2600	2700	2400	2400	2600	2600	2400	2500	2200	1700	2000	2300	2300	2200	2500	2700	2700	2100	2500	2000	2100	2500	2500	1250	2800	1320	2100	200	200	54	390	1900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
166	1862	508	1301	655	928	1568	1059	1194	1223	774	1712	870	489	1446	1200	931	992	581	1480	1113	987	932	599	823	1159	1542	1060	866	1475	1145	2061	1770	1208	1176	1166	2023	1773	1833	1711	1505	1402	1403	965	1004	1089	1458	1339	1384	1220	1262	1184	1441	1364	1540	1412	1513	1739	1725	1521	1545	1595	1798	1461	1594	1392	1012	1336	1487	1460	1427	1569	1844	1827	1768	1485	1224	1397	1484	1744	1171	1795	670	1991	143	200	54	390	1558	
4	18	12	27	49	96	83	36	79	107	48	33	80	86	16	50	41	10	15	19	45	103	71	30	75	32	43	21	110	27	42	29	37	72	48	52	33	31	34	23	46	47	34	41	31	43	58	59	68	20	69	59	48	50	44	39	24	40	69	36	25	83	43	35	58	58	50	42	51	35	41	21	36	25	52	27	26	38	44	80	31	29	650	8	44	0	0	0	37	
0	420	180	772	96	776	1049	705	727	670	278	355	650	525	1138	850	528	798	504	701	842	710	397	371	402	609	715	619	424	1198	713	710	693	720	776	682	344	896	433	866	849	951	763	594	765	868	684	602	848	960	569	457	911	786	616	849	763	821	906	843	830	922	759	904	848	750	638	622	762	805	732	910	820	848	280	988	750	665	972	676	48	976	0	101	13	0	0	0	305	
4	18	12	27	49	96	83	36	79	107	48	33	80	86	16	50	41	10	15	19	44	103	71	30	75	32	43	21	110	27	42	29	37	72	48	52	33	31	34	23	46	47	34	41	31	43	58	59	68	20	69	59	48	50	44	38	24	40	69	36	25	83	43	35	58	58	50	42	51	35	41	21	36	25	52	27	26	38	44	80	31	29	650	8	44	0	0	0	37	
166	1861	508	1301	655	928	1568	1059	1194	1223	774	1706	868	487	1446	1200	931	991	581	1480	1113	892	930	599	821	1158	1542	1060	861	1475	1143	2061	1770	1208	1176	1165	2017	1771	1833	1711	1504	1402	1403	965	1004	1089	1457	1339	1383	1218	1260	1184	1440	1364	1537	1412	1510	1735	1725	1521	1543	1595	1798	1461	1594	1389	1010	1334	1487	1458	1425	1566	1842	1825	1766	1483	1223	1395	1484	1742	1170	1795	670	1987	143	200	54	390	1551	
1	24	5	15	12	22	30	9	8	16	5	6	6	9	42	12	7	4	9	15	42	11	16	18	15	19	20	10	9	15	11	37	34	7	7	12	56	21	38	11	49	39	16	10	5	9	6	27	8	10	31	23	8	5	35	12	23	42	24	23	14	15	3	11	25	29	14	15	36	16	19	16	45	15	10	21	12	9	15	32	16	23	2	40	4	0	1	1	33	
169	1855	515	1313	692	1002	1621	1086	1265	1314	817	1733	942	564	1420	1238	965	997	587	1484	1115	984	985	611	881	1171	1565	1071	962	1487	1174	2053	1773	1273	1217	1205	1994	1781	1829	1723	1501	1410	1421	996	1030	1123	1509	1371	1443	1228	1298	1220	1480	1409	1546	1438	1511	1733	1770	1534	1554	1663	1838	1485	1627	1418	1046	1361	1502	1477	1447	1571	1833	1835	1808	1489	1237	1424	1513	1790	1185	1801	1318	1955	183	200	53	389	1555	
