"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №219"	
304	158	358	307	143	369	364	239	383	150	112	366	573	470	389	280	297	328	157	141	99	68	407	323	185	142	243	571	
250	150	350	300	120	300	350	250	350	150	150	410	600	560	460	340	340	390	190	170	110	70	470	370	260	160	330	640	
0	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	1	0	0	3	0	0	0	0	0	3	0	163	
207	121	227	203	79	199	240	156	233	105	90	246	372	320	264	198	237	221	131	103	87	61	257	230	158	105	194	271	
20	11	27	15	28	47	27	7	12	22	1	24	22	27	25	13	9	13	2	5	0	0	14	12	5	3	10	26	
23	18	96	82	13	54	83	87	105	23	59	132	182	213	171	129	93	156	57	59	23	9	199	128	97	49	126	180	
20	11	27	15	28	47	27	7	12	22	1	32	46	27	25	13	10	13	2	8	0	0	14	12	5	6	10	189	
207	121	227	203	79	199	240	156	233	105	90	246	372	320	264	198	237	221	131	103	87	61	257	230	158	105	194	271	
3	1	4	0	1	2	1	4	3	1	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	2	3	
224	131	250	218	106	244	266	159	242	126	91	278	418	347	288	209	246	234	133	111	87	61	271	241	163	111	202	457	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	2	1	0	0	1	0	0	0	2	1	0	1	3	1	0	0	0	0	1	0	0	0	0	3	
20	25	30	34	8	18	36	12	28	16	18	75	123	113	95	56	44	68	55	18	8	17	89	69	26	31	30	101	
18	3	12	19	12	22	15	13	9	13	0	4	5	2	3	0	1	0	2	0	0	0	3	1	0	3	0	24	
180	101	202	160	81	199	210	129	198	95	72	189	282	223	186	148	197	161	72	92	78	43	177	168	135	77	170	323	
1	2	2	0	3	4	2	3	3	2	0	5	2	5	2	1	0	3	2	1	0	1	0	1	1	0	0	0	
1	0	0	1	0	0	3	1	2	0	0	1	0	2	2	1	0	1	0	0	1	0	1	1	0	0	2	4	
3	0	0	1	0	0	0	1	1	0	1	1	3	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	
1	0	4	3	0	0	0	0	0	0	0	3	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	2	
