"УИК №2550"	"УИК №2551"	"УИК №2552"	"УИК №2553"	"УИК №2554"	"УИК №2555"	"УИК №2556"	"УИК №2557"	"УИК №2558"	"УИК №2559"	"УИК №2560"	"УИК №2561"	"УИК №2562"	"УИК №2563"	"УИК №2564"	"УИК №2565"	"УИК №2566"	"УИК №2567"	"УИК №2568"	"УИК №2569"	"УИК №2570"	"УИК №2571"	"УИК №2572"	"УИК №2573"	"УИК №2574"	"УИК №2575"	"УИК №2576"	"УИК №2577"	"УИК №2578"	"УИК №2579"	"УИК №2580"	"УИК №2581"	"УИК №2582"	"УИК №2583"	"УИК №2584"	"УИК №2585"	"УИК №2586"	"УИК №2587"	"УИК №2588"	"УИК №2589"	"УИК №2590"	"УИК №2591"	"УИК №2592"	"УИК №2593"	"УИК №2594"	"УИК №2595"	"УИК №2596"	"УИК №2597"	"УИК №2598"	"УИК №2599"	"УИК №2600"	"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	
1751	1303	2056	2024	1309	1370	1066	2028	1131	1329	950	923	1551	1002	370	465	599	1245	982	1137	1650	1090	1646	2221	1215	1529	1981	1023	777	1828	2600	976	1815	621	474	1576	779	1746	534	1222	1613	1381	1502	1668	978	1341	403	1454	1676	861	710	1923	1413	1767	1286	301	353	1152	1377	1773	1456	1237	976	798	711	1614	2229	1306	682	461	818	1168	1058	1283	1678	1279	2156	890	1348	2424	1069	1418	1355	2077	1701	949	
1450	1150	1650	1600	900	1050	850	1600	850	1050	800	750	1150	850	300	400	450	900	850	950	1500	950	1400	1900	1150	1250	1750	950	700	1350	1700	750	1500	600	420	1250	570	1600	450	1050	1450	1200	1250	1500	850	1150	350	1150	1500	650	520	1400	1200	1550	1150	270	320	900	1350	1450	1250	1150	850	700	600	1350	1700	1100	500	400	800	1050	900	1100	1500	1200	1850	700	1050	1800	900	1250	1100	1750	1400	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
996	708	1102	1153	767	832	620	1172	634	784	628	536	946	668	246	335	374	757	571	644	974	622	1130	1433	699	861	1140	615	461	1022	1512	519	977	346	341	890	463	1042	433	791	1060	922	887	1055	551	844	202	860	1046	542	444	1187	789	1023	748	195	253	671	1100	1161	1024	850	703	516	415	1182	1295	727	398	283	525	736	623	965	964	832	1394	596	758	1349	671	721	907	1170	1039	559	
16	21	53	37	22	16	7	22	25	39	16	26	30	45	22	20	23	27	14	11	29	25	44	32	22	19	100	35	41	17	30	54	33	39	30	55	44	67	10	33	45	23	32	26	7	45	25	34	31	59	33	29	17	40	27	10	17	43	28	66	15	22	67	57	12	23	11	16	12	52	56	41	76	41	30	14	26	40	52	45	73	150	77	17	29	43	
438	421	495	410	111	202	223	406	191	227	156	188	174	137	32	45	53	116	265	295	497	303	226	435	429	370	510	300	198	311	158	177	490	215	49	305	63	491	7	226	345	255	331	419	292	261	123	256	423	49	43	184	394	487	375	65	50	186	222	223	211	278	80	127	173	145	394	357	90	65	219	273	201	94	506	354	430	64	240	406	156	379	116	563	332	248	
16	21	53	37	22	16	7	22	25	39	16	26	30	45	22	20	23	27	14	11	29	25	44	32	22	19	100	35	41	17	30	54	33	39	30	55	44	67	10	33	45	23	32	26	7	45	25	34	31	59	33	29	17	40	27	10	17	43	28	66	15	22	67	57	12	23	11	16	12	52	56	41	76	41	30	14	26	40	52	45	73	150	77	17	29	43	
996	706	1102	1153	767	831	620	1172	634	784	628	536	945	668	246	315	374	757	571	644	974	622	1130	1433	699	860	1140	615	461	1022	1512	519	977	346	341	890	463	1042	433	791	1060	922	887	1041	550	844	202	859	1046	542	444	1187	789	1023	748	195	252	670	1100	1159	1024	850	703	515	415	1182	1295	727	398	283	525	736	623	965	952	832	1394	596	756	1342	671	721	907	1170	1039	559	
13	9	15	19	9	15	7	12	5	7	2	1	9	8	1	0	7	8	6	7	10	6	5	11	4	6	12	9	6	17	11	1	17	9	4	13	0	14	7	11	11	8	10	15	11	13	5	12	11	22	8	17	7	22	6	1	1	3	6	8	2	13	5	6	3	6	27	13	3	0	4	7	11	11	18	11	16	5	10	8	6	8	11	3	2	8	
999	718	1140	1171	780	832	620	1182	654	816	642	561	966	705	267	335	390	776	579	648	993	641	1169	1454	717	873	1228	641	496	1022	1531	572	993	376	367	932	507	1095	436	813	1094	937	909	1052	546	876	222	881	1066	579	469	1199	799	1041	769	204	268	710	1122	1217	1037	859	765	566	424	1199	1279	730	407	335	577	770	688	995	964	835	1404	631	798	1379	738	863	973	1184	1066	594	
