"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	
458	526	402	359	236	1596	1462	459	323	103	201	120	96	456	395	
509	574	403	383	243	1678	1300	481	325	108	200	120	89	500	436	
24	54	19	35	0	0	0	0	36	0	23	0	0	6	0	
416	447	323	291	207	1300	1072	421	252	99	172	119	89	422	369	
18	19	60	28	22	86	86	35	32	1	5	0	0	20	23	
51	54	1	29	14	292	142	25	5	8	0	1	0	52	44	
42	73	79	63	22	86	86	35	68	1	28	0	0	26	23	
414	447	323	291	207	1300	1071	421	252	99	172	119	89	422	369	
0	10	0	4	1	18	14	0	0	0	2	1	0	1	4	
456	510	402	350	228	1368	1143	456	320	100	198	118	89	447	388	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	1	5	1	0	0	0	1	0	0	1	1	
1	5	8	11	3	61	85	14	3	2	6	7	1	6	16	
2	2	4	11	0	47	92	4	2	2	16	5	0	8	4	
452	498	388	322	220	1227	944	431	314	91	170	104	87	425	359	
0	4	2	4	2	11	8	5	1	4	1	1	1	5	7	
1	1	0	0	2	11	1	2	0	0	0	0	0	1	1	
0	0	0	1	0	4	6	0	0	1	4	1	0	1	0	
0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	
