"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	
1779	2761	1902	2677	1703	2234	2303	2100	1856	2001	1504	1787	2630	2259	1693	2139	1932	1665	2873	1790	2234	1335	2241	2235	1518	2013	1962	1861	1814	2186	2451	2457	
1900	2800	1800	2700	1700	2100	2400	2300	2000	2100	1500	1900	2700	2400	1800	2300	2200	1900	2900	1800	2200	1300	2400	2700	1500	1900	2100	1600	1500	2700	2900	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1505	2299	1551	2370	1518	1887	2020	1866	1775	1600	1298	1518	2052	2030	1361	1527	1764	1490	2541	1456	2001	1006	1867	1386	1186	1502	1691	1280	1212	1768	2258	2078	
90	88	201	42	112	119	115	40	22	220	144	108	564	29	175	549	92	10	204	157	21	81	63	708	89	32	36	100	25	200	103	195	
305	413	48	288	70	94	265	394	203	280	58	274	84	341	264	224	344	400	154	187	178	213	470	606	225	366	373	220	263	732	539	227	
90	88	201	42	112	119	115	40	22	220	144	108	564	29	175	549	92	10	204	157	21	81	63	708	89	32	36	100	25	200	103	195	
1505	2299	1551	2370	1518	1887	2020	1866	1775	1600	1298	1518	2052	2030	1361	1527	1764	1490	2541	1456	2001	1006	1867	1386	1186	1502	1691	1280	1212	1768	2258	2074	
6	15	8	11	0	2	1	8	0	0	9	14	33	13	21	16	0	7	9	8	27	0	12	0	0	8	13	16	13	16	10	3	
1589	2372	1744	2401	1630	2004	2134	1898	1797	1820	1433	1612	2583	2046	1515	2060	1856	1493	2736	1605	1995	1087	1918	2094	1275	1526	1714	1364	1224	1952	2351	2266	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	5	5	15	18	2	6	8	3	5	29	5	5	8	18	0	1	6	5	2	0	12	9	2	2	9	6	8	6	4	4	
83	138	88	144	35	42	88	79	57	113	100	29	208	174	170	121	15	52	134	49	134	18	182	123	19	164	146	114	120	116	182	132	
70	29	15	87	27	63	59	134	20	34	33	17	49	64	45	107	15	40	55	15	33	5	63	47	38	64	46	43	40	77	123	35	
1404	2155	1594	2102	1487	1774	1954	1638	1671	1620	1252	1496	2189	1704	1196	1719	1818	1375	2499	1515	1759	1055	1589	1875	1191	1206	1447	1133	983	1698	1952	2036	
12	21	27	43	27	25	12	10	23	41	31	14	80	59	58	63	8	17	25	13	38	9	39	27	19	56	41	44	38	30	58	39	
7	10	6	4	15	43	5	6	6	2	4	4	14	6	12	8	0	6	4	1	8	0	10	4	0	8	6	8	7	8	9	11	
4	11	3	9	14	21	8	7	3	4	2	4	12	9	12	8	0	0	5	2	11	0	9	6	3	8	11	5	8	7	8	3	
6	5	6	7	10	18	6	18	9	3	6	19	26	25	14	16	0	2	8	5	10	0	14	3	3	18	8	11	20	10	15	6	
