"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №3666"	
2382	2257	2323	3410	2338	2238	2144	2670	2534	2111	1779	1765	1515	2269	2517	2139	2188	2628	1659	2135	1298	2256	2163	2576	2078	1609	1464	2005	315	2218	1953	473	110	
2000	2000	2000	2500	2000	2100	2000	2300	2300	1700	1700	1600	1400	2200	2400	2000	2000	2500	1600	2000	1100	2100	2000	2400	1900	1500	1100	1900	200	2000	1700	450	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1390	1260	1198	2181	1327	1382	1284	1545	1477	1237	978	1025	877	1237	1448	1246	1230	1519	1072	1234	694	1388	1349	1447	1194	920	870	1126	196	1274	1065	282	104	
64	52	54	56	48	51	52	68	46	42	22	42	25	78	41	73	37	42	14	56	40	43	44	39	39	34	3	50	3	28	21	14	5	
546	688	748	263	625	667	664	687	777	421	700	533	498	885	911	681	733	939	514	710	366	669	607	914	667	546	227	724	1	698	614	154	41	
64	52	54	56	48	51	52	68	46	42	22	42	25	78	41	73	37	42	14	56	40	43	44	39	39	34	3	50	3	28	21	14	5	
1386	1258	1195	2179	1327	1382	1284	1545	1476	1237	978	1024	876	1237	1446	1245	1230	1519	1072	1233	693	1386	1344	1443	1190	913	867	1126	196	1269	1061	282	104	
23	22	20	37	18	13	21	18	23	16	10	15	16	22	20	17	21	17	12	13	8	18	12	23	25	12	9	16	2	16	18	5	0	
1427	1288	1229	2198	1357	1420	1315	1595	1499	1263	990	1051	885	1293	1467	1301	1246	1544	1074	1276	725	1411	1376	1459	1204	935	861	1160	197	1281	1064	291	109	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	7	9	9	17	20	6	16	14	14	15	9	11	6	17	15	9	15	10	11	5	19	10	9	10	13	5	13	1	12	12	5	0	
172	180	150	241	142	176	140	210	181	163	122	117	95	139	195	153	161	178	156	183	86	178	165	170	150	97	103	155	20	160	141	40	19	
73	59	62	133	73	69	64	76	76	127	52	61	49	77	59	76	65	87	44	61	38	85	96	74	71	52	20	70	16	51	26	13	5	
988	932	912	1652	994	1009	958	1135	1101	850	690	755	642	959	1049	945	890	1106	769	871	523	965	947	1089	887	684	618	792	145	961	733	201	81	
76	46	25	78	57	48	57	53	63	39	44	54	35	46	46	61	58	65	40	55	34	66	67	51	37	37	51	60	7	45	84	15	2	
14	11	14	9	16	12	14	12	5	14	11	6	5	14	10	15	11	10	9	11	9	9	17	6	4	8	7	6	0	3	6	2	0	
32	20	13	33	16	30	25	32	18	24	24	17	17	13	34	18	17	24	14	36	5	33	23	25	17	18	24	21	3	14	23	4	1	
60	33	44	43	42	56	51	61	41	32	32	32	31	39	57	18	35	59	32	48	25	56	51	35	28	26	33	43	5	35	39	11	1	
