"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	
1613	1739	1443	61	288	74	363	54	282	154	1024	300	130	94	407	355	265	125	237	227	187	707	119	78	110	745	97	273	402	
1500	1700	1400	60	290	70	350	55	280	155	1025	300	130	95	405	355	265	120	235	225	185	705	120	75	110	750	95	275	405	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
790	984	754	33	182	54	178	41	171	89	483	172	52	49	232	237	162	82	164	145	126	482	79	61	54	417	78	189	260	
62	29	74	10	32	5	30	2	19	10	78	30	22	4	59	11	16	11	18	12	2	24	10	3	15	33	7	15	37	
648	687	572	17	76	11	142	12	90	56	464	98	56	42	114	107	87	27	53	68	57	199	31	11	41	300	10	71	108	
62	29	74	10	32	5	30	2	19	10	78	30	22	4	59	11	16	11	18	12	2	24	10	3	15	33	7	15	37	
790	984	754	33	182	54	178	41	171	89	483	172	52	49	232	237	162	82	164	145	126	482	79	61	54	417	78	189	260	
8	21	14	0	0	0	5	0	2	4	10	2	1	0	3	4	1	1	1	5	4	3	0	0	1	4	0	2	4	
844	992	814	43	214	59	203	43	188	95	551	200	73	53	288	244	177	92	181	152	124	503	89	64	68	446	85	202	293	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	7	1	1	0	0	6	0	1	0	2	4	0	1	5	1	2	0	2	1	1	2	2	0	0	3	1	1	3	
144	176	185	12	14	7	33	3	29	6	74	35	5	10	63	18	10	6	5	13	27	55	6	1	8	63	8	12	25	
64	66	61	7	19	3	16	6	13	10	52	18	5	4	17	22	11	3	22	11	15	36	10	5	2	30	3	16	28	
606	734	551	23	180	49	145	34	143	78	414	141	62	37	196	199	150	78	146	122	81	404	69	54	57	343	73	167	232	
7	3	4	0	1	0	2	0	1	1	4	0	1	0	3	2	1	2	2	3	0	1	1	1	0	2	0	4	1	
5	3	4	0	0	0	0	0	1	0	2	1	0	0	3	2	2	3	4	1	0	3	0	0	1	3	0	1	2	
7	1	5	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	
5	2	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	1	0	0	1	0	1	2	
