"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №404"	"УИК №718"	"УИК №737"	"УИК №817"	"УИК №818"	"УИК №1010"	
1854	1288	1384	1822	1760	1578	1813	1488	1951	1854	1721	1758	2327	1524	2346	2435	450	1983	1379	1629	864	1520	1793	1429	1986	1744	2209	2396	2149	1747	2633	1401	1411	1710	1923	2467	2714	1143	1588	2513	1834	2347	2562	1914	1894	2205	2139	1573	1717	1899	2252	2061	2109	2189	704	1383	880	374	289	143	169	
1600	1300	1200	1500	1500	1500	1700	1200	1700	1800	1400	1500	1700	1200	2000	2000	600	1700	1100	1300	800	1200	1400	1200	1700	1500	1800	2100	1600	1600	2200	1100	1200	1400	1600	2000	2100	1000	1500	2000	1600	2000	2100	1500	1500	1800	1700	1300	1400	1500	1800	1700	1800	1800	600	1400	1000	500	300	200	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1137	785	838	1098	948	1043	1212	934	1397	1412	1020	1157	1500	852	1433	1404	413	931	765	796	441	923	1117	958	958	881	1184	1412	1373	1222	1658	737	896	937	1081	1347	1630	541	825	1443	972	1307	1386	1084	1139	1368	1253	988	1021	1158	1234	1488	1150	1539	450	1061	397	336	269	143	138	
77	237	211	132	154	76	83	46	93	90	73	75	65	79	55	95	37	167	130	211	71	41	43	60	235	156	176	71	69	96	92	49	38	94	73	69	106	110	183	147	143	226	201	56	86	28	47	52	42	206	137	58	72	60	22	322	474	31	14	0	31	
386	276	151	270	398	381	405	219	210	298	307	268	135	269	512	501	150	602	205	293	288	236	240	182	507	463	440	617	158	282	450	314	266	369	446	584	364	349	492	410	485	467	513	360	275	404	400	260	337	136	429	154	578	201	128	17	129	133	17	57	131	
77	237	211	131	154	76	83	46	93	90	73	75	65	79	55	95	37	167	130	211	71	41	43	60	235	156	176	71	69	96	92	49	38	94	73	69	106	110	183	147	143	226	201	56	86	28	47	52	42	206	137	58	72	60	22	322	474	31	14	0	31	
1137	783	834	1098	948	1043	1212	934	1397	1412	1020	1157	1498	852	1433	1404	413	931	762	796	441	923	1117	958	957	880	1184	1412	1373	1220	1658	737	896	935	1081	1347	1628	541	825	1442	972	1307	1383	1084	1139	1368	1253	988	1021	1158	1234	1488	1150	1536	450	1061	397	336	269	143	138	
11	11	10	12	14	17	9	16	13	16	10	21	25	10	14	11	3	12	11	19	6	6	13	13	7	10	15	14	18	15	15	8	15	7	9	17	21	4	13	14	13	8	18	8	13	12	20	15	3	6	12	7	7	18	2	0	3	1	0	0	0	
1203	1009	1035	1217	1088	1102	1286	964	1477	1486	1083	1211	1538	921	1474	1488	447	1086	881	988	506	958	1147	1005	1185	1026	1345	1469	1424	1301	1735	778	919	1022	1145	1399	1713	647	995	1575	1102	1525	1566	1132	1212	1384	1280	1025	1060	1358	1359	1539	1215	1578	470	1383	868	366	283	143	169	
