"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	
1098	1049	1383	509	443	472	205	379	131	164	150	84	
1014	968	1310	500	432	461	201	365	127	152	144	82	
0	0	0	0	0	0	0	0	0	0	0	0	
768	871	1025	366	264	430	175	227	109	131	117	43	
67	52	32	41	30	23	22	17	8	14	11	7	
179	45	253	93	138	8	4	121	10	7	16	32	
67	52	32	41	30	23	22	17	8	14	11	7	
768	871	1024	366	264	430	175	227	109	131	117	43	
3	0	1	4	5	0	2	3	1	0	2	1	
832	923	1055	403	289	453	195	241	116	145	126	49	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	1	0	0	4	2	0	3	1	
67	7	16	47	33	11	7	21	6	9	7	1	
52	64	62	28	16	9	6	7	9	7	4	3	
700	849	977	314	232	428	182	207	98	129	110	41	
2	1	0	6	3	2	0	0	0	0	0	0	
7	2	0	7	3	3	0	2	1	0	1	2	
1	0	0	0	1	0	0	0	0	0	1	0	
3	0	0	0	0	0	0	0	0	0	0	1	
