"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №3662"	"УИК №3663"	
1942	1892	2347	856	1979	1261	2085	2508	2266	2525	2086	2123	163	271	
1400	1300	1800	850	1500	1000	1500	2000	1500	1800	1600	1800	200	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1056	1138	1356	630	1162	617	1234	1384	1152	1421	1216	1153	154	230	
58	37	53	6	43	43	61	56	60	53	58	82	1	36	
285	125	391	214	295	340	207	559	288	326	326	564	45	134	
58	37	53	6	43	43	61	56	60	53	57	82	1	36	
1056	1136	1355	628	1161	617	1232	1384	1151	1421	1214	1153	154	230	
24	20	22	8	17	11	25	16	13	18	14	13	2	3	
1090	1153	1386	626	1187	649	1268	1424	1198	1456	1257	1222	153	263	
1	0	0	0	0	0	0	1	0	0	0	1	0	0	
0	0	0	0	0	0	2	0	0	0	0	0	0	0	

8	12	13	4	9	5	18	12	19	16	5	9	0	0	
144	162	182	127	141	75	156	148	149	182	170	149	24	27	
41	86	68	35	62	32	65	86	46	53	51	63	8	24	
756	768	975	422	838	468	831	1053	840	1044	893	880	110	198	
60	55	66	19	52	35	88	60	59	65	56	54	6	8	
7	10	13	5	12	5	11	6	12	13	12	12	2	1	
24	22	23	5	23	6	27	19	28	27	22	17	1	1	
50	38	46	9	50	23	72	40	45	56	48	38	2	4	
