"УИК №3601"	"УИК №3602"	"УИК №3603"	"УИК №3604"	"УИК №3605"	"УИК №3606"	"УИК №3607"	"УИК №3608"	"УИК №3609"	"УИК №3610"	"УИК №3611"	"УИК №3612"	"УИК №3613"	"УИК №3614"	"УИК №3615"	"УИК №3616"	"УИК №3617"	"УИК №3618"	"УИК №3619"	"УИК №3620"	"УИК №3621"	"УИК №3622"	"УИК №3623"	"УИК №3624"	"УИК №3625"	"УИК №3626"	"УИК №3627"	"УИК №3628"	"УИК №3629"	"УИК №3630"	"УИК №3631"	"УИК №3632"	"УИК №3633"	"УИК №3634"	"УИК №3635"	"УИК №3636"	
1099	988	1049	475	74	212	283	566	516	510	496	157	165	143	87	605	1180	1183	339	140	1027	185	374	493	173	407	701	1235	162	304	756	710	531	226	810	1093	
1100	1000	1050	470	80	200	260	550	490	500	490	159	150	130	84	650	1170	1190	300	126	930	194	370	480	173	414	710	1230	150	313	770	680	520	240	770	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
708	573	764	347	54	98	185	417	401	344	313	87	118	115	69	404	839	765	250	97	740	139	271	371	139	274	534	826	115	197	553	486	233	123	505	656	
69	61	134	47	17	39	36	60	73	91	39	25	21	7	8	49	34	80	24	14	116	21	60	32	7	38	73	133	33	56	26	71	64	26	58	66	
322	366	152	76	9	63	39	73	16	65	138	47	11	8	7	197	297	345	26	15	74	34	39	77	27	102	103	271	2	60	191	123	223	91	207	378	
69	61	134	47	17	39	36	60	73	91	39	25	21	7	8	49	34	80	24	14	116	21	60	32	7	38	73	133	33	56	26	71	64	26	58	66	
708	573	764	347	54	98	185	417	401	344	313	87	118	115	69	403	839	765	250	97	740	139	271	371	139	274	534	826	115	197	553	486	233	123	505	656	
10	5	0	0	0	0	3	12	11	3	4	0	2	0	0	6	12	12	1	0	8	2	0	5	0	2	8	21	1	5	9	13	5	2	14	15	
767	629	898	394	71	137	218	465	463	432	348	112	137	122	77	446	861	833	273	111	848	158	331	398	146	310	599	938	147	248	570	544	292	147	549	707	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	7	3	1	0	1	2	2	0	1	1	0	1	0	1	6	3	0	2	8	0	1	3	0	2	4	7	1	2	5	3	4	2	7	5	
87	78	91	40	1	8	25	52	68	38	34	8	17	15	2	66	120	135	48	7	112	14	41	38	20	28	38	101	8	9	80	50	34	17	55	52	
68	68	94	34	8	20	38	45	45	29	42	10	10	15	5	41	72	76	30	3	61	12	27	30	20	29	75	81	13	10	74	49	22	15	36	55	
592	457	678	307	60	107	144	354	333	357	263	91	109	89	69	328	632	596	184	95	636	129	255	313	104	245	467	730	119	226	398	422	226	112	438	571	
5	2	9	4	0	0	2	4	8	2	0	0	1	1	1	4	15	10	3	1	14	1	3	6	0	1	6	8	3	0	3	5	0	0	5	12	
4	11	12	4	1	0	4	0	3	4	4	1	0	1	0	3	5	4	3	1	6	1	2	4	1	3	2	6	2	1	6	3	4	0	3	6	
1	3	5	2	0	2	1	5	3	1	4	0	0	0	0	2	4	4	1	1	3	0	2	2	0	0	3	4	0	0	2	5	2	1	4	4	
5	5	2	0	0	0	3	3	1	1	0	1	0	0	0	1	7	5	4	1	8	1	0	2	1	2	4	1	1	0	2	7	0	0	1	2	
