"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	
577	1640	433	365	862	127	
574	1643	433	347	863	127	
140	190	103	63	118	69	
412	1351	310	263	685	56	
16	98	20	18	56	0	
6	4	0	3	4	2	
156	288	123	81	174	69	
412	1351	310	263	685	56	
0	0	0	0	0	0	
568	1639	433	344	859	125	
0	0	0	0	0	0	
0	0	0	0	0	0	

0	0	0	0	1	0	
0	8	0	0	0	0	
0	5	0	0	2	0	
568	1623	433	344	856	125	
0	3	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
