"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	
2176	1540	1214	1542	1744	425	267	295	570	737	1151	349	693	641	757	826	237	344	425	284	394	338	488	203	507	572	448	532	360	260	225	350	1174	1474	
2200	1500	1200	1600	1800	450	250	300	600	750	1200	350	700	700	800	850	250	400	450	250	400	350	550	200	550	600	450	550	350	250	250	350	1300	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1235	965	661	901	969	216	127	161	275	463	619	262	380	422	408	518	135	214	268	192	187	212	280	115	299	322	197	278	172	169	117	188	698	764	
91	30	47	35	48	42	49	37	106	57	132	33	87	88	68	41	24	16	56	14	36	25	69	16	65	70	84	52	49	13	34	51	122	118	
874	505	492	664	783	192	74	102	219	230	449	55	233	190	324	291	91	170	126	44	177	113	201	69	186	208	169	220	129	68	99	111	480	618	
91	30	47	35	48	42	49	37	106	57	132	33	87	88	68	41	24	16	56	14	36	25	69	16	65	70	84	52	49	13	34	51	122	118	
1235	965	661	901	969	216	127	161	275	463	619	262	380	422	408	518	135	214	268	192	187	212	280	115	299	322	197	278	172	169	117	188	698	762	
14	12	4	10	14	4	0	2	8	6	6	2	2	4	3	2	0	1	2	0	1	0	0	0	1	3	0	3	5	0	1	0	6	2	
1312	983	704	926	1003	254	176	196	373	514	745	293	465	506	473	557	159	229	322	206	222	237	349	131	363	389	281	327	216	182	150	239	814	878	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	4	6	6	0	3	1	2	1	0	0	4	1	0	4	0	1	0	0	1	2	4	2	0	0	1	1	0	1	0	2	4	5	
275	203	123	189	210	38	7	38	41	45	129	22	50	72	51	80	15	25	47	19	27	33	49	9	43	53	30	33	18	30	16	44	93	66	
87	48	52	57	74	13	15	10	40	35	45	8	34	18	23	31	16	15	24	19	19	29	24	8	27	33	12	26	23	11	7	11	40	47	
919	713	516	659	688	201	147	142	283	418	560	257	376	400	395	435	126	184	248	163	172	169	262	109	285	301	232	265	172	139	124	172	667	750	
10	7	1	6	9	1	0	3	4	5	9	3	0	9	3	5	1	3	1	3	2	2	2	1	2	2	2	1	1	0	0	6	4	6	
2	2	6	2	6	0	3	1	2	6	0	3	0	4	1	0	0	1	1	0	0	1	4	1	3	0	1	1	0	1	1	4	2	1	
8	3	1	5	5	1	0	1	1	2	1	0	1	1	0	1	1	0	1	1	1	1	4	1	2	0	3	0	1	0	1	0	4	1	
4	3	1	2	5	0	1	0	0	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	2	
