"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	
1994	1479	1008	463	628	132	1215	226	195	155	228	515	415	279	352	256	1162	176	
2037	1467	1032	465	623	128	1250	215	204	146	221	781	434	304	347	285	1186	159	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1254	869	611	256	307	78	740	126	130	77	126	422	224	157	196	170	637	109	
80	73	31	21	80	26	75	34	27	19	25	93	45	34	48	13	103	23	
703	525	390	188	236	24	435	55	47	50	70	266	165	113	103	102	446	27	
80	73	31	21	80	26	75	34	27	19	25	93	45	34	48	13	103	23	
1253	869	611	256	307	78	740	126	130	77	126	422	224	157	196	170	637	109	
17	8	8	2	5	1	11	2	3	1	1	11	3	1	3	1	10	1	
1316	934	634	275	382	103	804	158	154	95	150	504	266	190	241	182	730	131	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	8	2	7	0	6	1	1	1	0	4	1	1	2	2	7	1	
191	120	78	40	39	10	92	17	14	6	7	50	22	18	36	18	74	6	
136	74	52	15	54	4	79	18	15	13	5	83	23	21	12	16	81	12	
935	707	470	208	274	87	598	116	123	74	137	356	215	148	181	137	539	99	
22	12	12	8	3	0	11	3	1	1	0	5	0	0	2	1	11	3	
3	4	10	2	2	1	6	0	0	0	0	0	1	1	4	4	11	5	
16	7	3	0	1	1	5	3	0	0	1	4	1	0	2	2	5	3	
5	7	1	0	2	0	7	0	0	0	0	2	3	1	2	2	2	2	
