"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №987"	"УИК №988"	"УИК №992"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	11	4	6	1	17	11	12	17	11	16	12	12	9	9	15	25	14	18	22	4	4	11	6	4	13	11	20	11	14	7	10	13	10	14	3	4	8	10	16	15	21	9	21	12	10	15	12	9	10	16	5	6	19	6	13	17	6	16	17	12	13	16	9	13	21	28	20	3	10	12	10	19	21	17	23	13	2	33	13	10	12	16	16	18	22	13	22	11	13	12	16	6	16	9	20	22	10	11	19	16	11	17	9	15	23	20	21	7	16	4	16	15	16	10	14	12	15	7	6	19	17	5	0	9	10	4	1	0	0	4	2	2	1	0	0	1	1	3	0	
22	24	217	99	126	23	197	138	85	171	194	190	126	87	145	80	82	283	139	183	214	87	110	102	206	144	126	196	159	68	137	151	162	137	145	122	38	58	124	104	167	143	235	107	217	144	94	185	85	71	129	158	125	116	318	79	86	218	131	239	300	173	220	155	144	183	247	196	257	45	160	149	159	217	205	269	194	272	62	294	166	217	122	232	124	197	244	167	310	234	222	153	144	169	202	171	249	299	164	189	212	132	251	153	137	165	259	264	270	140	193	157	150	198	230	163	131	133	131	124	111	185	247	91	42	100	209	12	2	2	8	39	24	10	18	11	21	7	9	31	2	
8	26	124	45	81	26	133	79	83	138	114	132	96	63	75	56	25	81	86	98	96	51	25	42	81	78	74	133	132	69	68	58	106	89	105	110	39	46	104	105	173	166	138	103	153	92	62	119	75	63	64	135	64	77	154	51	65	163	66	150	135	111	141	117	104	147	180	141	151	15	115	83	116	149	126	163	148	132	39	106	103	171	109	117	107	123	130	129	115	123	132	105	124	152	125	131	118	148	108	107	131	71	189	145	110	101	120	131	113	96	152	111	106	114	111	142	123	92	165	97	105	183	139	81	30	49	111	96	7	10	6	25	12	1	13	7	14	8	8	20	8	
189	275	1053	450	687	147	1063	741	667	926	1071	1095	680	494	734	434	352	1191	844	824	1127	506	418	493	928	818	770	1011	1115	622	722	719	848	704	812	763	177	268	646	676	1121	1038	1286	810	1092	698	539	1201	642	553	647	1100	577	622	1187	414	559	1289	468	1247	1409	884	1035	1024	763	1166	1314	1049	1425	195	946	765	1048	1240	1109	1394	1156	1250	293	1272	917	1336	797	1107	929	1114	1247	1310	1313	1289	1161	1016	1089	1126	1116	1146	1142	1432	878	1030	1066	718	1440	961	1003	949	1198	1337	1272	732	1136	1006	690	922	1225	837	990	687	933	768	678	1316	1361	528	234	447	1001	212	38	26	49	289	151	30	117	83	97	73	68	166	20	
3	5	33	16	22	5	36	27	29	35	90	60	32	22	61	24	13	65	60	59	59	24	37	32	57	53	42	44	50	17	35	48	53	37	34	40	3	7	15	23	35	46	59	42	70	42	19	52	36	21	39	45	27	37	67	16	32	65	29	51	69	31	40	54	29	60	50	47	61	9	35	31	49	64	40	65	42	66	15	40	39	63	53	56	24	50	51	46	100	70	52	31	38	35	57	41	45	91	38	59	44	38	59	41	39	44	45	65	71	40	52	42	47	64	62	42	45	24	20	35	31	48	46	18	4	27	53	32	4	3	4	11	2	0	0	1	8	4	5	7	1	
1	4	12	5	7	1	14	8	10	9	6	23	10	7	12	5	2	19	17	15	16	7	1	5	14	11	9	13	22	9	7	10	8	10	10	13	1	2	5	7	16	18	14	6	15	13	2	17	7	7	2	13	10	7	9	7	5	12	1	16	20	8	14	10	13	17	18	8	30	4	6	5	13	15	19	21	13	15	2	20	6	9	13	20	7	21	14	21	18	14	17	14	12	13	16	10	12	14	6	19	7	11	21	12	13	16	14	6	12	8	17	14	10	17	13	6	11	3	12	11	11	17	19	3	4	6	7	2	0	1	0	2	3	0	3	0	3	0	2	3	0	
1	2	7	4	5	2	9	15	9	10	23	26	7	12	14	12	11	27	12	23	20	11	23	15	17	18	18	19	14	3	12	11	22	20	10	13	2	4	8	5	27	21	26	17	9	17	5	32	9	12	11	22	11	9	21	12	13	21	7	22	22	8	12	12	10	19	26	19	20	2	9	13	20	21	19	35	16	25	4	24	15	25	16	23	11	16	15	19	26	11	22	11	18	12	21	19	23	35	14	24	27	12	22	18	17	10	26	25	31	14	14	15	18	16	23	12	18	6	11	8	15	13	12	9	1	8	16	0	1	0	3	3	7	0	1	3	3	1	2	2	0	
2	4	21	14	12	2	22	20	14	22	40	58	35	22	29	26	16	51	45	29	46	22	35	31	61	42	19	44	53	17	37	34	27	24	22	21	6	12	6	20	34	26	48	34	42	29	19	43	17	14	14	39	39	16	44	15	21	37	10	21	46	26	25	37	31	45	25	31	33	1	42	32	23	48	34	53	44	29	7	27	32	39	22	36	27	45	42	47	36	46	38	21	28	25	24	32	33	68	27	43	31	21	35	15	27	37	42	46	53	26	32	19	14	36	32	18	28	26	18	19	22	27	28	18	6	10	11	7	1	0	1	8	2	2	1	2	1	2	2	3	0	
