"УИК №1259"	"УИК №1260"	"УИК №1261"	"УИК №1262"	"УИК №1263"	"УИК №1264"	"УИК №1265"	"УИК №1266"	"УИК №1267"	"УИК №1268"	"УИК №1269"	"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №3622"	"УИК №3623"	"УИК №3624"	"УИК №3625"	"УИК №3626"	"УИК №3627"	"УИК №3628"	"УИК №3629"	"УИК №3630"	"УИК №3631"	"УИК №3632"	"УИК №3633"	"УИК №3634"	"УИК №3635"	"УИК №3636"	"УИК №3637"	"УИК №3638"	"УИК №3639"	"УИК №3640"	"УИК №3641"	"УИК №3642"	"УИК №3643"	"УИК №3644"	"УИК №3645"	"УИК №3646"	
1164	1338	734	1417	1332	1553	1763	1123	1435	1462	1157	1733	1408	1551	1088	1635	1389	1378	1415	1362	1345	1279	1212	1736	1448	1397	1377	1397	1386	691	1171	1449	1755	2082	1971	2627	2455	1062	1469	670	596	1681	1214	2009	1476	1399	2477	2221	500	1369	1952	1502	1152	1289	1337	907	1436	1555	1641	1468	1243	899	1252	1254	728	1330	1611	1445	2146	2487	1994	2167	1263	1345	
900	1100	600	1150	1050	1200	1300	900	1150	1150	950	1500	1100	1200	900	1500	1150	1100	1100	1100	1100	1000	900	1300	1000	1000	1200	1050	1050	600	1050	1200	1200	1900	1450	2100	1900	800	1150	600	450	1300	1000	1600	1100	1150	1800	2300	500	1100	1400	1200	950	1050	1050	800	1090	1150	1350	1200	1200	1000	1000	1150	700	900	1200	1300	1600	2200	1400	1600	1200	1050	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
652	793	465	828	754	857	855	606	800	771	652	1036	886	869	644	1110	820	786	766	711	773	758	643	958	807	762	836	779	743	441	883	817	760	1311	1003	1472	1425	652	911	365	309	904	643	1123	795	874	1534	1701	325	866	1226	915	632	842	716	473	866	942	1086	931	776	715	634	805	459	769	903	873	1064	1808	1104	1294	814	708	
70	22	5	21	19	18	123	9	10	6	19	5	3	13	17	6	13	7	14	24	10	9	4	14	24	25	13	17	29	15	10	14	11	9	3	18	31	12	17	59	28	21	55	25	17	11	20	14	153	11	1	14	17	11	6	4	3	5	1	10	12	12	20	4	20	5	1	3	11	2	11	7	11	12	
178	285	130	301	277	325	322	285	340	373	279	459	211	318	239	384	317	307	320	365	317	233	253	328	169	213	351	254	278	144	157	369	429	580	444	610	444	136	222	176	113	375	302	452	288	265	246	582	22	223	173	271	301	197	328	323	221	203	263	259	412	273	346	341	221	126	296	424	525	390	285	299	375	330	
70	22	5	21	19	18	123	9	10	6	19	5	3	13	17	6	13	7	14	23	10	9	4	14	24	25	13	17	29	15	10	14	11	9	3	18	31	12	17	59	28	21	55	25	17	11	20	14	153	11	1	14	17	11	6	4	3	5	1	10	12	12	20	4	20	5	1	3	11	2	11	7	11	12	
652	793	465	828	753	857	855	606	800	771	652	1033	886	869	644	1110	820	786	766	711	773	758	642	958	807	762	835	779	743	441	883	817	760	1309	1002	1472	1425	652	911	365	309	904	642	1123	795	873	1533	1698	325	866	1225	914	632	842	716	473	866	942	1086	931	776	715	633	805	459	769	903	873	1064	1808	1103	1294	814	708	
7	8	3	7	10	8	79	5	6	4	5	7	6	9	8	9	5	6	2	5	16	11	7	8	11	8	13	5	6	3	8	8	6	128	6	16	12	8	10	1	2	6	1	9	8	8	17	9	6	7	7	8	15	3	5	5	5	9	6	9	5	3	6	7	2	6	1	7	6	13	5	7	6	4	
715	807	467	842	762	867	899	610	804	773	666	1031	883	873	653	1107	828	787	778	729	767	756	639	964	820	779	835	791	766	453	885	823	765	1190	999	1474	1444	656	918	423	335	919	696	1139	804	876	1536	1703	472	870	1219	920	634	850	717	472	864	938	1081	932	783	724	647	802	477	768	903	869	1069	1797	1109	1294	819	716	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	0	2	1	1	4	2	2	1	5	2	3	4	4	3	2	5	0	3	4	4	6	4	6	0	9	1	0	3	3	3	0	3	0	3	7	3	2	6	1	3	4	5	2	5	7	6	3	4	9	3	3	3	2	1	3	9	2	1	3	2	9	4	1	0	3	4	2	6	16	5	5	7	
250	340	170	292	287	339	244	200	307	240	228	300	283	303	218	381	259	268	263	242	279	257	229	331	221	220	220	248	241	170	215	193	181	228	142	342	343	207	349	114	97	332	232	389	274	327	854	1141	125	330	347	331	213	299	234	133	245	245	341	349	261	243	237	306	172	239	255	171	200	295	171	381	275	240	
29	11	18	28	12	35	17	17	25	16	20	23	21	24	19	20	27	16	13	19	23	27	10	29	22	30	30	19	16	10	27	26	25	50	34	54	58	10	29	13	4	29	16	23	18	22	24	22	21	33	39	24	18	27	22	13	23	25	20	15	16	17	19	10	16	20	16	46	50	66	60	38	18	14	
404	422	269	488	432	457	595	371	456	479	395	652	514	513	395	644	520	482	473	444	434	441	374	564	522	484	544	487	485	250	604	562	522	803	769	1024	1005	415	525	275	224	523	428	677	476	479	599	501	307	476	750	530	375	486	420	296	562	619	682	533	481	436	358	449	276	476	577	608	761	1312	798	776	486	436	
14	12	3	14	12	19	17	10	4	17	5	29	31	13	5	24	5	6	16	11	9	11	8	17	22	28	16	15	10	12	14	22	17	67	30	26	16	11	7	8	4	19	8	21	21	18	14	17	8	15	39	16	14	16	21	15	15	24	22	16	11	8	10	12	2	18	28	23	25	57	31	63	20	6	
2	3	0	4	3	1	6	2	2	1	2	2	3	3	3	5	1	2	0	1	1	4	3	4	4	2	4	2	6	3	9	4	2	5	6	6	4	1	0	1	1	2	3	6	5	1	17	4	1	2	1	4	1	1	3	3	5	1	1	3	2	3	2	2	1	2	0	4	5	9	9	6	2	3	
5	4	4	6	6	6	7	2	3	6	3	12	11	4	3	9	6	3	4	4	8	3	5	4	15	11	7	6	5	1	6	5	4	14	5	6	4	3	1	6	2	6	3	5	4	10	6	7	2	1	24	5	3	4	6	1	9	6	6	4	1	7	6	8	1	6	15	6	12	24	11	12	3	5	
5	9	3	8	9	9	9	6	5	13	8	11	17	9	6	21	8	5	9	5	9	9	4	11	8	4	5	13	3	4	7	8	14	20	13	13	7	6	5	0	2	5	2	13	4	14	15	5	5	9	10	7	7	14	9	10	2	9	7	11	8	8	6	11	8	7	9	7	14	28	13	13	10	5	
