"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1156"	
1166	1163	1412	1305	517	201	465	624	988	433	570	308	127	741	253	255	846	1278	1314	1369	996	387	464	228	281	301	99	624	801	298	137	1427	236	738	
1043	1054	1316	1200	476	194	414	577	898	391	525	284	116	686	234	231	783	1147	1166	1254	920	354	417	213	256	253	93	561	734	265	130	1327	212	673	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
784	673	885	755	291	122	272	371	604	191	317	191	67	413	157	116	542	745	808	809	554	227	271	139	167	91	59	422	392	170	58	879	128	475	
32	71	36	68	78	20	45	108	61	125	112	31	37	95	35	59	72	100	95	103	78	43	64	30	36	83	21	62	111	29	43	101	29	49	
227	310	395	377	107	52	97	98	233	75	96	62	12	178	42	56	169	302	263	342	288	84	82	44	53	79	13	77	231	66	29	347	55	149	
32	71	36	68	78	20	45	108	61	125	112	31	37	95	35	59	72	100	95	103	78	43	64	30	36	83	21	62	111	29	43	101	29	49	
784	673	885	755	291	122	272	371	604	191	317	191	67	413	157	116	542	745	808	809	554	227	271	139	167	91	59	422	392	170	58	879	128	475	
13	8	19	8	0	0	4	1	17	2	4	1	0	3	2	1	5	12	9	5	7	9	2	5	0	0	1	3	3	6	0	15	1	7	
803	736	902	815	369	142	313	478	648	314	425	221	104	505	190	174	609	833	894	907	625	261	333	164	203	174	79	481	500	193	101	965	156	517	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	2	6	9	2	0	1	1	6	0	3	0	1	0	2	2	6	2	4	5	4	1	1	0	1	1	1	4	2	1	0	7	2	5	
106	89	109	100	25	8	22	30	59	14	31	7	15	37	16	12	28	90	94	65	70	33	32	11	4	7	4	32	42	3	1	110	9	63	
52	39	46	52	31	13	15	40	57	18	26	9	5	29	7	14	26	67	61	64	57	11	19	8	13	9	6	32	30	18	0	50	4	34	
618	592	730	635	306	120	272	403	515	279	360	205	83	427	165	145	534	658	715	758	481	211	272	142	185	155	66	405	418	170	100	782	138	408	
9	6	6	8	3	0	2	2	4	0	4	0	0	1	0	0	3	7	8	7	4	2	5	3	0	0	2	4	2	1	0	3	2	4	
2	1	1	2	2	1	0	2	3	1	1	0	0	8	0	1	6	5	8	3	6	2	2	0	0	1	0	3	5	0	0	9	1	2	
6	4	4	4	0	0	0	0	2	2	0	0	0	3	0	0	4	3	2	2	1	1	1	0	0	0	0	0	0	0	0	4	0	1	
4	3	0	5	0	0	1	0	2	0	0	0	0	0	0	0	2	1	2	3	2	0	1	0	0	1	0	1	1	0	0	0	0	0	
