"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	
1286	1149	1294	1334	1173	1206	2776	2621	1197	2375	1201	1411	2869	2803	1065	
1200	1050	1150	1250	1100	1100	2650	2550	1100	2300	1100	1300	2850	2800	1062	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
843	788	862	879	789	844	1908	1915	854	1660	812	1010	2032	2028	1013	
63	37	32	40	56	38	128	47	26	26	31	35	17	42	42	
294	225	256	331	255	218	614	588	220	614	257	255	801	730	7	
63	37	32	40	56	38	128	47	26	26	31	35	17	42	42	
843	788	862	878	789	844	1906	1915	854	1660	812	1010	2027	2028	1013	
8	8	16	18	11	9	29	24	11	32	11	19	40	36	5	
898	817	878	900	834	873	2005	1938	869	1654	832	1026	2004	2034	1050	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	3	10	6	6	12	14	30	12	23	5	6	14	18	1	
114	113	115	119	93	111	271	247	138	191	125	139	311	265	97	
60	57	75	60	67	77	155	170	68	134	61	68	158	140	81	
675	611	645	672	642	642	1470	1422	624	1233	607	780	1437	1535	841	
16	11	10	14	13	8	38	26	12	24	13	14	37	33	21	
7	5	5	10	3	7	9	17	5	12	3	1	13	11	1	
6	9	9	8	4	8	20	17	7	19	7	9	15	25	6	
8	8	9	11	6	8	28	9	3	18	11	9	19	7	2	
