"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	
1319	1236	1325	1252	1317	1239	1185	1418	1184	1169	1169	1336	1382	1344	1102	408	742	378	268	626	347	840	568	419	364	347	264	388	285	992	968	415	311	317	332	225	832	451	273	
1360	1249	1304	1283	1310	1270	1212	1459	1231	1215	1210	1314	1449	1402	1141	395	776	391	270	657	368	887	575	444	388	348	268	404	288	1017	973	427	324	318	330	231	861	473	289	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
611	473	711	592	592	586	540	618	580	608	593	601	642	540	340	309	321	305	209	495	176	604	394	218	236	161	210	312	221	562	667	261	232	258	208	145	616	360	165	
60	103	77	131	88	63	96	66	61	75	41	69	92	121	235	50	184	43	26	96	121	78	42	44	58	97	32	40	21	212	160	84	43	27	27	35	141	51	28	
689	673	516	560	630	621	576	775	590	532	576	644	715	741	566	36	271	43	35	66	71	205	139	182	94	90	26	52	46	243	146	82	49	33	95	51	104	62	96	
60	103	77	131	88	63	96	66	61	75	41	69	92	121	235	50	184	43	26	96	121	78	42	44	58	97	32	40	21	212	160	84	43	27	27	35	141	51	28	
611	473	711	592	592	586	540	618	580	608	593	601	642	540	340	309	321	305	209	495	176	604	394	218	236	161	210	312	221	562	667	261	232	258	208	145	616	360	165	
0	6	5	12	11	4	4	6	10	5	13	1	9	5	5	3	6	0	11	2	26	1	9	3	0	0	2	3	0	1	4	0	0	0	2	2	0	7	0	
671	570	783	711	669	645	632	678	631	678	621	669	725	656	570	356	499	348	224	589	271	681	427	259	294	258	240	349	242	773	823	345	275	285	233	178	757	404	193	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	5	4	8	3	4	1	3	6	11	5	6	0	2	1	3	1	2	3	2	2	4	0	0	0	1	0	2	1	8	0	0	3	0	2	0	1	7	
106	86	163	131	105	97	115	113	68	105	103	110	152	126	56	14	53	23	12	57	15	37	36	29	19	8	4	15	6	56	63	7	28	18	19	15	32	14	45	
68	36	66	56	67	60	54	55	54	31	51	55	55	50	52	22	39	17	12	27	13	18	32	10	7	11	3	6	1	38	51	12	23	9	7	9	10	14	13	
475	421	535	498	467	465	435	486	491	503	436	463	500	463	434	310	393	303	194	495	239	616	352	212	263	237	232	326	232	671	692	312	219	255	201	141	700	371	118	
3	4	3	7	7	4	8	6	5	11	7	14	3	6	11	3	3	0	1	2	1	4	1	0	0	1	0	0	0	3	4	6	3	0	1	3	5	0	3	
8	13	7	8	8	5	3	9	4	8	6	7	7	7	6	3	3	3	1	4	1	3	2	7	2	0	0	2	0	1	3	2	2	0	2	8	2	1	6	
5	3	2	3	3	5	5	6	3	6	3	10	0	2	6	0	1	1	2	0	0	1	0	1	0	1	0	0	0	2	1	5	0	0	1	0	5	1	1	
2	2	2	4	4	6	8	2	3	8	4	5	2	2	3	3	4	0	0	1	0	0	0	0	3	0	0	0	1	1	1	1	0	0	2	0	3	2	0	
