"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	
533	86	39	465	505	81	488	1138	992	694	260	93	572	427	207	96	405	324	
551	92	42	435	508	88	507	1166	1149	883	349	92	584	450	198	102	435	324	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
466	44	36	283	398	54	444	827	717	615	206	26	536	340	151	70	314	287	
67	42	3	146	97	26	42	96	116	27	35	54	30	66	41	19	87	36	
18	6	3	6	13	8	21	243	316	241	108	12	18	44	6	13	34	1	
67	42	3	146	97	26	42	96	116	27	35	54	30	66	41	19	87	36	
466	44	36	283	398	54	444	827	717	615	206	26	536	340	151	70	314	287	
0	1	0	3	0	3	7	11	6	8	0	0	5	3	2	0	0	5	
533	85	39	426	495	77	479	912	827	634	241	80	561	403	190	89	401	318	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	2	0	0	1	3	3	1	0	0	1	2	2	0	0	0	
3	14	4	55	10	1	40	139	125	88	32	3	21	60	40	9	4	7	
0	1	0	6	6	0	20	35	33	29	18	1	18	36	16	7	0	1	
530	70	35	354	470	75	409	706	645	507	186	73	520	295	130	71	397	310	
0	0	0	9	7	0	9	15	13	5	5	1	1	1	1	0	0	0	
0	0	0	0	2	1	0	2	5	1	0	1	0	6	0	2	0	0	
0	0	0	0	0	0	0	4	3	1	0	0	0	3	0	0	0	0	
0	0	0	0	0	0	0	8	0	2	0	1	0	0	1	0	0	0	
