"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	
2379	1835	1967	2201	2019	1954	2046	1844	2010	
2300	1900	1900	2000	1900	1900	1900	1800	1900	
0	0	0	0	0	0	0	0	0	
1668	1128	1364	1472	1160	1161	1442	1147	1252	
5	30	3	58	14	35	14	17	20	
627	742	533	470	726	704	444	636	628	
5	30	3	58	14	35	14	17	20	
1667	1128	1363	1472	1158	1150	1441	1146	1252	
9	13	12	8	11	13	18	16	12	
1663	1145	1354	1522	1161	1172	1437	1147	1260	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

19	11	8	8	9	14	17	9	8	
217	153	157	198	153	149	133	140	161	
70	78	78	65	51	43	101	55	56	
1270	834	1048	1175	878	905	1118	856	967	
30	30	28	32	24	20	29	36	35	
17	11	11	10	21	14	11	18	9	
17	13	8	14	9	13	15	13	10	
23	15	16	20	16	14	13	20	14	
