"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №3768"	
2613	2582	1811	2554	675	2540	2583	1968	3515	407	
1800	1800	1400	1700	500	1700	1900	1400	2300	450	
0	0	0	0	0	0	0	0	0	0	
1546	1451	1025	1580	473	1597	1497	1182	2038	218	
29	37	62	19	6	17	44	26	30	185	
225	312	313	101	21	86	359	192	232	47	
29	37	62	19	6	17	44	26	30	185	
1545	1450	1025	1575	472	1596	1497	1182	2034	218	
21	18	13	21	6	17	19	19	23	3	
1553	1469	1074	1573	472	1596	1522	1189	2041	400	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

13	14	15	10	2	7	8	7	16	4	
216	219	140	215	50	205	178	124	265	16	
36	44	25	45	9	44	43	39	59	51	
1065	1024	756	1113	358	1105	1097	863	1419	305	
103	89	65	99	23	121	93	62	161	19	
8	6	6	3	3	4	3	10	7	0	
41	40	19	34	13	47	46	36	41	4	
71	33	48	54	14	63	54	48	73	1	
