"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №3669"	"УИК №3670"	
1977	486	2138	1604	2067	1762	2014	2111	1983	2052	2448	2134	2123	2467	695	1802	1719	2338	2225	2242	1875	1806	669	319	
1600	550	1700	1300	1700	1500	1600	1700	1500	1700	1800	1600	1600	1900	500	1400	1300	1900	1700	1700	1500	1400	800	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1158	266	1325	1082	1273	1071	1190	1219	1169	1101	1570	1218	1280	1461	416	1096	1043	1402	1275	1291	1097	1071	535	237	
61	212	56	94	95	80	70	70	34	69	40	44	70	40	29	64	76	73	68	112	94	45	133	35	
381	72	319	124	332	349	340	411	297	530	190	338	250	399	55	240	181	425	357	297	309	284	132	128	
61	212	56	94	95	80	70	70	34	69	40	44	70	40	29	64	76	73	68	112	94	45	133	35	
1156	266	1322	1082	1273	1070	1186	1215	1169	1099	1567	1218	1280	1450	416	1095	1040	1399	1274	1287	1095	1070	535	236	
13	12	23	16	25	19	16	11	30	18	21	18	26	27	4	23	12	16	20	25	21	17	5	0	
1204	466	1355	1160	1343	1131	1240	1274	1173	1150	1586	1244	1324	1463	441	1136	1104	1456	1322	1374	1168	1098	663	271	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	5	8	12	14	10	9	20	22	17	23	17	18	19	5	18	11	15	9	14	19	14	5	1	
172	18	191	118	159	133	161	169	163	155	204	172	143	180	47	160	148	208	183	164	137	154	51	19	
71	16	62	61	83	52	53	49	42	66	74	71	73	71	30	54	46	73	56	66	59	72	38	13	
868	411	967	869	969	826	894	908	800	794	1088	840	970	1032	337	792	784	1015	938	970	800	740	530	217	
33	9	41	47	44	42	56	41	63	44	86	66	48	61	14	44	44	67	64	54	67	49	16	6	
9	2	8	10	9	8	9	17	9	12	12	9	13	13	1	13	12	13	8	10	8	11	2	3	
14	0	24	11	16	22	23	20	16	17	37	20	13	25	6	15	13	16	22	28	35	16	4	1	
26	5	54	32	49	38	35	50	58	45	62	49	46	62	1	40	46	49	42	68	43	42	17	11	
