"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	
2084	1821	1083	863	1033	1291	1940	1451	1890	336	283	123	473	700	326	463	366	727	142	379	389	280	158	124	127	519	274	891	269	171	189	447	146	336	674	153	75	538	756	77	83	114	
2000	1800	1000	850	1000	1200	2000	1400	1900	340	300	130	500	700	300	450	350	750	140	390	400	280	170	130	130	540	300	900	300	170	200	450	140	340	680	150	70	550	700	80	80	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1027	991	580	516	538	728	1051	779	1068	193	161	66	280	446	206	267	193	352	78	194	251	161	94	76	68	279	134	504	136	84	105	268	87	194	327	87	42	293	422	57	48	67	
285	111	37	25	68	86	82	77	53	33	39	6	75	86	35	69	52	71	23	73	24	36	26	23	18	48	61	70	33	20	14	45	28	65	62	28	8	33	74	4	4	3	
688	698	383	309	394	386	867	544	779	114	100	58	145	168	59	114	105	327	39	123	125	83	50	31	44	213	105	326	131	66	81	137	25	81	291	35	20	224	204	19	28	50	
285	111	37	25	68	86	82	77	53	33	39	6	75	86	35	69	52	71	23	73	24	36	26	23	18	48	61	70	33	20	14	45	28	65	62	28	8	33	74	4	4	3	
1027	991	580	516	538	728	1051	779	1068	193	161	66	280	446	206	267	193	352	78	194	251	161	94	76	68	279	134	504	136	84	105	268	87	194	327	87	42	293	422	57	48	67	
26	13	1	3	6	6	11	5	10	2	1	1	3	6	3	3	1	3	0	2	1	1	0	0	1	1	4	5	2	0	0	4	0	1	4	0	0	6	7	0	1	1	
1286	1089	616	538	600	808	1122	851	1111	224	199	71	352	526	238	333	244	420	101	265	274	196	120	99	85	326	191	569	167	104	119	309	115	258	385	115	50	320	489	61	51	69	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

19	5	2	3	4	3	7	2	8	0	2	1	0	2	0	0	0	4	3	3	1	0	0	1	0	3	1	3	2	0	1	3	1	2	2	1	0	1	4	0	0	1	
156	175	95	79	105	132	232	148	193	60	16	9	38	94	26	20	18	34	11	14	27	22	3	12	14	41	24	91	11	6	19	40	15	14	41	7	4	47	78	7	1	10	
130	103	57	55	57	75	113	106	86	14	18	9	38	68	19	39	26	29	10	24	19	16	10	5	8	35	8	61	20	12	11	24	14	22	33	13	9	29	52	7	5	3	
948	785	452	392	424	584	739	579	806	146	161	52	269	358	184	266	197	346	77	220	222	152	106	81	63	243	157	405	131	85	85	239	84	214	295	92	37	235	344	47	43	54	
10	9	2	2	3	4	12	5	3	1	0	0	2	0	3	1	0	4	0	0	2	3	0	0	0	1	1	2	2	1	1	3	1	3	3	1	0	0	3	0	1	0	
9	6	6	2	3	6	7	7	7	1	2	0	4	2	1	2	3	2	0	3	3	1	1	0	0	1	0	6	0	0	0	0	0	2	6	0	0	5	7	0	1	1	
3	3	1	3	3	3	5	2	3	0	0	0	0	2	3	3	0	1	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	0	4	0	0	3	1	0	0	0	
11	3	1	2	1	1	7	2	5	2	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	
