"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	
365	182	803	287	300	126	304	160	137	629	514	665	472	368	132	179	647	258	189	191	
350	150	800	280	300	120	300	150	120	600	520	670	450	370	120	180	650	250	200	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174	97	434	164	127	67	151	98	71	295	237	324	211	194	60	103	357	120	112	78	
57	18	75	4	40	5	39	5	19	92	72	81	68	31	36	16	58	21	30	26	
119	35	291	112	133	48	110	47	30	213	211	265	171	145	24	61	235	109	58	56	
57	18	75	4	40	5	39	5	19	92	72	81	68	31	36	16	58	21	30	26	
174	97	434	164	127	67	151	98	71	295	237	324	211	194	60	103	357	120	112	78	
3	0	7	1	0	0	1	0	0	3	2	8	2	6	1	1	1	3	1	1	
228	115	502	167	167	72	189	103	90	384	307	397	277	219	95	118	414	138	141	103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	4	3	2	1	1	1	0	2	4	3	2	1	1	1	3	2	1	1	
64	18	87	18	16	14	31	22	15	38	35	74	43	31	7	11	98	44	22	11	
30	18	68	15	13	6	10	18	5	34	40	32	25	20	5	12	26	16	29	14	
127	78	332	127	132	49	143	62	69	302	214	276	204	165	81	91	278	74	84	75	
1	0	5	2	1	1	0	0	1	1	7	4	1	1	0	0	2	1	1	0	
3	0	3	1	1	0	2	0	0	2	0	5	1	1	0	0	2	1	2	2	
1	1	3	1	2	0	0	0	0	5	1	2	0	0	0	1	4	0	2	0	
1	0	0	0	0	1	2	0	0	0	6	1	1	0	1	2	1	0	0	0	
