"УИК №3701"	"УИК №3702"	"УИК №3703"	"УИК №3704"	"УИК №3705"	"УИК №3706"	"УИК №3707"	"УИК №3708"	"УИК №3709"	"УИК №3710"	"УИК №3711"	"УИК №3712"	"УИК №3713"	"УИК №3714"	"УИК №3715"	"УИК №3716"	"УИК №3717"	"УИК №3718"	"УИК №3719"	"УИК №3720"	"УИК №3721"	"УИК №3722"	"УИК №3723"	"УИК №3724"	"УИК №3725"	"УИК №3726"	"УИК №3727"	"УИК №3728"	"УИК №3729"	"УИК №3797"	"УИК №3798"	"УИК №3799"	
1105	1638	1790	941	1071	1960	1550	1013	1343	1620	1361	1442	1812	1809	1720	2251	2126	2097	1862	1682	1739	1903	2107	1823	1429	2153	325	1518	1984	600	170	690	
1050	1600	1700	1000	1000	1800	1350	1000	1300	1500	1300	1300	1700	1700	1660	2000	2000	2000	1800	1500	1600	1800	2000	1700	1300	2000	350	1400	2000	600	170	690	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
776	1368	1375	848	589	1730	963	976	1243	1160	1072	1100	1319	1527	1540	1683	1716	1904	1304	1404	1568	1681	1806	1462	1273	1920	187	1362	1676	32	170	295	
99	107	250	60	105	33	40	7	29	326	153	124	362	103	120	112	203	70	372	87	15	50	174	221	20	18	126	15	109	568	0	395	
175	125	75	92	306	37	347	17	28	14	75	76	19	70	0	205	81	26	124	9	17	69	20	17	7	62	37	23	215	0	0	0	
99	107	250	60	105	33	40	7	29	326	153	124	362	103	120	112	203	70	372	87	15	50	174	221	20	18	126	15	109	568	0	395	
776	1368	1375	848	589	1730	963	976	1243	1160	1072	1100	1319	1527	1540	1683	1716	1904	1304	1404	1568	1681	1806	1462	1273	1920	187	1362	1676	32	170	295	
9	1	2	6	6	7	12	0	9	2	6	3	0	0	2	5	1	23	0	13	3	0	0	8	14	21	0	3	0	0	0	3	
866	1474	1623	902	688	1756	991	983	1263	1484	1219	1221	1681	1630	1658	1790	1918	1951	1676	1478	1580	1731	1980	1675	1279	1917	313	1374	1785	600	170	687	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	3	5	8	7	7	2	7	6	8	4	11	3	3	6	7	3	2	2	8	1	5	3	55	6	0	3	7	3	1	2	
83	77	64	48	82	123	141	30	44	73	81	104	115	114	84	162	178	286	91	153	408	102	140	121	231	141	8	92	252	60	6	39	
58	24	35	25	35	89	59	24	17	31	37	48	48	88	4	73	42	59	21	3	48	12	68	11	149	55	9	11	53	19	11	30	
657	1340	1502	805	522	1480	726	901	1157	1340	1041	1038	1451	1386	1539	1481	1624	1526	1510	1306	1059	1606	1673	1512	652	1665	287	1228	1390	513	149	608	
22	9	7	8	16	12	18	5	13	9	9	10	18	19	7	21	17	30	17	1	10	4	28	4	30	21	3	2	21	1	0	3	
9	4	2	4	1	6	7	2	6	1	4	7	3	2	1	9	15	9	9	2	9	1	16	2	23	6	1	3	2	1	0	1	
30	11	5	5	18	31	28	13	14	19	30	4	20	11	9	26	22	32	23	8	29	2	32	14	81	13	3	32	44	3	1	3	
2	7	5	2	6	8	5	6	5	5	9	6	15	7	11	12	13	6	3	3	9	3	18	8	58	10	2	3	16	0	2	1	
