"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	
522	140	507	246	128	362	60	885	165	516	384	321	245	103	187	220	472	372	400	2508	1758	307	291	155	124	144	158	
540	135	510	260	130	360	60	930	170	510	385	325	220	110	195	225	490	360	440	2515	1820	305	300	150	135	150	165	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
260	91	357	152	105	249	46	700	128	356	283	226	170	97	159	146	334	261	270	2039	1116	230	197	102	76	51	85	
82	24	72	56	15	62	8	52	21	76	46	51	40	0	12	48	61	59	49	92	11	24	47	39	31	29	44	
198	20	81	52	10	49	6	178	21	78	56	48	10	13	24	31	95	40	121	384	693	51	56	9	28	70	36	
82	24	72	56	15	62	8	52	21	76	46	51	40	0	12	48	61	59	49	92	11	24	47	39	31	29	44	
260	91	357	152	105	249	46	700	128	356	283	226	170	97	159	146	334	261	270	2039	1116	230	197	102	76	51	85	
1	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	5	9	1	0	0	0	0	2	
341	114	427	207	120	310	54	752	149	432	328	277	210	97	171	194	395	318	319	2126	1118	253	244	141	107	80	127	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	2	1	0	1	0	4	1	0	0	1	0	2	1	3	5	1	1	12	13	1	1	0	0	0	0	
77	9	44	26	4	22	3	49	13	23	17	36	14	3	6	6	27	18	21	240	197	21	10	3	6	1	5	
47	14	31	5	6	18	3	37	12	24	19	9	3	4	12	20	14	8	15	39	104	18	10	3	8	4	13	
208	89	340	171	108	264	48	653	121	384	291	229	190	88	150	163	344	286	279	1791	756	205	217	133	93	72	102	
2	1	2	1	0	0	0	3	1	0	1	0	0	0	0	0	2	1	0	33	14	0	3	0	0	2	0	
3	0	3	2	2	3	0	3	1	0	0	2	1	0	2	2	2	3	1	5	10	3	2	1	0	0	6	
2	0	5	0	0	2	0	2	0	1	0	0	2	0	0	0	1	1	1	2	12	3	1	0	0	0	0	
0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	12	2	0	1	0	1	1	
