"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	
234	279	256	554	172	269	178	786	1032	88	1057	40	2187	1305	338	967	2248	2848	717	1821	589	378	1224	507	169	513	551	152	495	156	
235	292	273	634	181	288	193	827	1143	83	1095	43	2228	1282	356	998	2175	2853	681	1882	670	398	1374	546	177	558	596	173	557	159	
0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	17	7	0	12	0	0	2	8	0	0	2	
169	185	218	356	117	196	142	499	730	74	595	35	1343	784	188	506	1328	1800	434	1290	472	278	963	354	125	389	388	120	315	116	
6	10	3	20	3	6	4	33	53	1	76	0	68	77	9	11	55	90	93	56	20	15	66	50	1	8	19	2	18	4	
60	97	52	258	61	86	47	237	360	8	424	8	817	421	159	481	792	963	154	519	171	105	333	142	51	159	181	51	224	37	
6	10	3	20	3	6	4	91	53	1	76	0	68	77	9	11	55	90	93	73	27	15	78	50	1	10	27	2	18	6	
169	185	218	356	117	196	142	499	730	74	595	35	1343	784	188	506	1328	1800	434	1290	472	278	963	354	125	389	388	120	315	116	
2	1	2	3	2	0	1	8	4	1	8	0	29	15	1	4	16	14	7	8	5	5	5	1	0	4	3	1	2	4	
173	194	219	373	118	202	145	582	779	74	663	35	1382	846	196	513	1367	1876	520	1355	494	288	1036	403	126	395	412	121	331	118	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	0	2	0	0	1	1	0	2	0	6	2	1	2	7	6	3	6	1	3	4	0	0	1	0	0	0	1	
17	19	20	76	65	60	48	211	317	32	102	9	259	138	67	172	450	688	235	641	223	108	428	148	65	183	223	27	121	13	
13	4	9	10	1	5	1	2	18	2	53	0	123	52	6	28	43	37	6	11	6	4	9	3	0	4	1	1	3	16	
134	165	187	285	49	135	93	360	419	39	496	26	958	638	119	304	833	1082	261	669	251	163	573	245	59	202	181	92	199	87	
5	2	2	2	1	1	3	4	12	1	5	0	10	9	2	4	18	36	10	19	9	7	12	6	1	2	4	1	4	1	
1	0	1	0	0	0	0	1	6	0	2	0	5	6	1	1	1	2	2	2	0	0	1	0	1	1	0	0	2	0	
2	1	0	0	0	0	0	2	4	0	0	0	5	1	0	1	8	8	1	6	2	1	5	0	0	1	2	0	0	0	
1	2	0	0	0	1	0	1	2	0	3	0	16	0	0	1	7	17	2	1	2	2	4	1	0	1	1	0	2	0	
