"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	
2618	2913	1369	2244	2114	2633	1808	1479	955	1074	960	495	116	184	290	790	1975	
2386	2630	1247	2039	1912	2390	1568	1292	865	969	866	560	117	176	280	616	2070	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2354	2501	1131	2009	1798	2331	1483	1217	853	956	852	437	116	174	268	601	1815	
2	89	9	2	8	0	73	62	0	0	0	4	0	0	7	9	160	
30	40	107	28	106	59	12	13	12	13	14	119	1	2	5	6	95	
2	89	9	2	8	0	73	62	0	0	0	4	0	0	7	9	160	
2354	2501	1131	2009	1798	2331	1483	1217	853	956	852	437	116	174	268	601	1815	
0	0	22	0	20	0	0	0	0	0	0	0	0	0	0	0	171	
2356	2590	1118	2011	1786	2331	1556	1279	853	956	852	441	116	174	275	610	1804	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

35	43	2	20	5	10	22	21	18	12	16	1	0	3	4	9	4	
89	91	68	72	118	93	48	37	29	35	23	11	2	4	9	24	61	
80	92	4	70	7	91	51	38	28	36	26	0	0	4	8	25	42	
2005	2214	990	1711	1601	2004	1342	1101	725	823	733	412	114	149	233	517	1677	
40	42	31	38	41	41	31	26	15	16	15	4	0	4	5	8	15	
10	15	1	12	5	2	5	7	10	5	2	0	0	0	5	3	3	
51	48	2	56	1	69	29	25	16	15	15	0	0	5	6	13	2	
46	45	20	32	8	21	28	24	12	14	22	13	0	5	5	11	0	
