"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №794"	
2096	1686	2088	1965	1910	2129	1960	2200	2089	1869	2166	2049	
2120	1650	2090	1960	1920	2170	1960	2010	2030	1880	2190	2080	
0	0	0	0	0	0	0	0	0	0	0	0	
1372	1029	1429	1398	1343	1455	1247	1603	1464	1272	1635	1410	
27	19	38	22	31	41	19	20	38	31	14	29	
721	602	623	540	546	674	694	387	528	577	541	641	
27	19	38	22	31	41	19	20	38	31	14	29	
1371	1027	1429	1398	1342	1451	1246	1603	1459	1272	1635	1398	
20	14	19	16	25	10	17	24	11	13	11	15	
1378	1032	1448	1404	1348	1482	1248	1599	1486	1290	1638	1412	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

8	5	11	12	11	10	11	11	17	6	8	4	
171	141	200	206	183	202	138	195	209	214	220	215	
113	100	114	100	92	110	115	122	125	80	129	94	
1048	747	1050	1017	1012	1081	937	1217	1086	935	1205	1046	
15	21	30	30	15	32	24	16	17	18	36	21	
10	5	13	9	9	16	6	13	7	8	10	10	
8	7	9	16	15	17	7	11	13	14	12	9	
5	6	21	14	11	14	10	14	12	15	18	13	
