"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	
244	275	643	315	434	826	691	962	233	1820	1241	143	515	491	493	193	318	227	441	2252	555	489	269	687	
250	270	630	280	400	770	640	900	220	1700	1100	130	470	430	480	180	300	200	400	2000	550	470	250	650	
0	0	0	33	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	58	0	0	72	
141	160	295	159	269	410	373	488	155	1082	729	86	313	301	250	144	212	150	303	1180	283	300	160	343	
7	14	18	11	28	57	39	27	6	20	66	0	21	26	50	9	7	6	22	75	37	11	13	36	
102	96	317	77	103	303	228	378	59	598	305	44	136	103	180	27	81	44	68	745	172	159	77	199	
7	14	18	44	28	57	39	34	6	20	66	0	21	26	50	9	7	6	29	75	95	11	13	108	
141	160	295	159	269	410	373	488	155	1082	729	86	313	301	250	144	212	150	303	1180	283	300	160	343	
0	3	5	7	4	1	2	10	0	13	13	1	4	5	6	1	2	2	9	15	4	5	0	4	
148	171	308	196	293	466	410	512	161	1089	782	85	330	322	294	152	217	154	323	1240	374	306	173	447	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	3	1	2	3	13	1	2	7	2	1	6	3	2	0	2	1	3	3	0	2	0	5	
17	3	15	15	42	59	71	71	20	227	151	6	60	45	32	8	18	15	29	184	20	26	15	54	
9	23	18	13	30	38	26	45	14	79	48	10	18	26	32	13	21	10	39	114	20	31	10	69	
114	144	263	165	206	361	291	381	118	722	546	66	238	230	221	127	166	126	245	903	326	242	140	312	
3	0	0	0	5	4	4	7	0	29	12	1	2	6	1	0	5	0	3	7	3	2	2	3	
4	0	8	2	1	1	2	4	1	6	10	0	2	6	2	3	3	2	1	7	3	1	4	2	
0	0	0	0	3	0	2	1	2	5	2	1	3	3	2	0	1	0	2	12	1	1	0	2	
0	1	1	0	4	0	1	2	4	14	11	0	1	3	2	1	1	0	1	10	1	1	2	0	
