"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	
456	375	1363	616	163	402	755	305	227	190	1325	1264	616	1496	1312	1095	839	605	
516	400	1550	720	250	500	850	350	260	210	1400	1400	650	1579	1470	1170	830	680	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
344	318	897	516	144	340	599	268	209	176	777	759	421	933	802	572	674	375	
22	9	62	40	12	38	121	32	4	2	18	18	32	30	26	76	44	29	
150	73	591	164	94	122	130	50	47	32	605	623	197	616	642	522	112	276	
22	9	62	40	12	38	121	32	4	2	18	18	32	30	26	76	44	29	
344	318	897	516	144	340	599	268	209	176	777	759	421	933	802	572	674	375	
3	0	15	5	0	0	0	0	9	1	9	9	8	7	22	17	8	6	
363	327	944	551	156	378	720	300	204	177	786	768	445	956	806	631	710	398	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	6	3	0	0	2	0	0	0	3	4	2	2	4	3	1	6	
18	25	182	49	7	4	56	16	5	8	201	32	71	209	100	170	87	54	
4	7	48	10	2	4	5	3	3	1	12	12	13	20	18	43	14	7	
330	281	684	474	145	367	652	276	192	163	510	697	347	657	657	394	572	316	
6	8	12	6	1	0	3	2	2	2	28	7	6	32	14	12	20	7	
5	4	3	4	0	3	2	0	0	0	9	6	3	13	7	3	8	4	
0	1	5	1	0	0	0	1	0	1	10	5	0	9	4	3	2	1	
0	0	4	4	1	0	0	2	2	2	13	5	3	14	2	3	6	3	
