"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	
1734	2385	2528	2303	461	
1600	2000	2000	2005	450	
0	0	0	2	0	
1186	1710	1869	1674	403	
130	39	17	16	8	
284	251	114	313	39	
130	39	17	18	8	
1184	1709	1869	1671	403	
14	19	25	27	6	
1300	1729	1861	1662	405	
0	0	0	0	0	
0	0	0	0	0	

3	13	6	9	1	
104	129	174	117	21	
82	141	131	109	32	
1065	1378	1479	1374	342	
20	30	32	23	2	
4	12	4	4	0	
9	15	21	11	3	
13	11	14	15	4	
