"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	
761	70	184	1687	1365	265	108	166	113	434	522	267	391	844	179	489	432	351	135	494	182	97	203	360	
840	60	210	1750	1470	270	120	180	100	450	560	280	410	930	210	575	440	400	130	515	205	100	180	430	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
533	44	159	1055	815	194	83	119	91	309	303	150	247	523	113	277	341	284	85	336	138	79	134	225	
59	14	16	80	103	26	4	18	9	43	86	30	29	48	27	46	17	23	21	38	12	7	14	42	
248	2	35	615	552	50	33	43	0	98	171	100	134	359	70	252	82	93	24	141	55	14	32	163	
59	14	16	80	103	26	4	18	9	43	86	30	29	48	27	46	17	23	21	38	12	7	14	42	
533	44	159	1055	815	194	83	119	91	309	303	150	247	523	113	277	341	284	85	336	138	79	134	225	
11	1	1	13	13	0	0	0	0	3	6	2	1	4	1	3	1	2	0	5	0	0	0	2	
581	57	174	1122	905	220	87	137	100	349	383	178	275	567	139	320	357	305	106	369	150	86	148	265	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	0	10	9	3	0	3	1	1	5	1	0	2	2	3	2	0	0	1	1	0	1	1	
163	2	14	288	287	32	34	16	24	33	85	46	65	104	38	28	37	42	11	120	44	18	38	52	
36	7	23	94	69	22	10	7	15	19	20	16	23	53	10	21	31	31	1	27	13	13	9	36	
365	47	130	702	523	162	43	110	60	285	266	114	181	396	88	265	283	229	93	216	90	52	100	169	
6	0	1	6	6	0	0	1	0	4	2	0	2	3	0	0	0	1	1	2	1	0	0	2	
4	0	4	6	2	1	0	0	0	4	3	0	2	7	0	3	3	1	0	1	1	3	0	3	
2	1	1	9	5	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	0	0	0	1	
0	0	1	7	4	0	0	0	0	2	1	1	2	2	0	0	1	0	0	0	0	0	0	1	
