"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №3657"	
2374	2644	2492	2544	2635	2487	1992	2507	2355	2255	2049	2029	1976	2206	2482	2390	2718	1559	1804	2066	2243	2060	2789	2110	2445	2135	2145	2171	2343	2610	2201	2354	2157	2276	2305	2316	2346	2327	2403	2750	2263	2272	1994	111	
1900	2100	1900	2100	2100	1900	1600	2000	1900	1800	1700	1700	1600	1800	2000	1900	2200	1500	1500	1700	1700	1700	2100	1800	2000	1800	1800	1800	1900	2100	1800	1900	1700	1900	1900	1900	1900	1900	1900	2200	1800	1900	1600	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1374	1566	1341	1424	1505	1384	1126	1484	1320	1369	1164	1172	1202	1350	1369	1205	1489	883	992	1206	1230	1168	1468	1224	1359	1173	1240	1196	1315	1489	1288	1265	1301	1251	1346	1341	1322	1482	1440	1515	1371	1388	1208	110	
60	67	73	69	63	69	40	72	72	44	45	34	47	36	77	71	34	36	53	51	56	62	68	48	97	70	46	51	67	43	52	74	51	66	82	63	58	40	50	17	31	61	53	0	
466	467	486	607	532	447	434	444	508	387	491	494	351	414	554	624	677	581	455	443	414	470	564	528	544	557	514	553	518	568	460	561	348	583	472	496	520	378	410	668	398	451	339	90	
60	67	73	69	63	69	40	72	72	44	45	34	47	36	77	71	34	36	53	51	56	62	68	48	97	70	46	51	67	43	52	73	51	66	82	63	58	40	50	17	31	59	53	0	
1371	1563	1341	1423	1502	1315	1126	1484	1305	1369	1164	1171	1202	1350	1369	1200	1487	882	988	1206	1230	1167	1467	1224	1359	1173	1239	1195	1315	1489	1287	1265	1301	1251	1344	1341	1322	1482	1440	1514	1369	1384	1204	110	
14	16	14	23	19	20	9	20	14	19	10	11	14	9	20	23	14	6	14	25	8	8	40	19	19	17	20	16	16	25	10	15	19	22	18	15	15	16	20	15	20	15	15	0	
1417	1614	1400	1469	1546	1364	1157	1536	1363	1394	1199	1194	1235	1377	1426	1248	1507	912	1027	1232	1278	1221	1495	1253	1437	1226	1265	1230	1366	1507	1329	1323	1333	1295	1408	1389	1365	1506	1470	1516	1380	1428	1242	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	10	12	15	11	12	6	11	11	12	11	14	10	9	12	16	21	13	4	23	8	8	13	19	9	13	10	12	14	9	13	12	15	9	9	17	8	14	12	15	13	14	16	1	
158	188	145	173	159	141	112	162	151	121	120	91	134	164	146	125	164	95	107	124	139	150	175	143	139	131	149	149	156	160	167	130	150	135	150	152	161	176	171	170	161	161	167	10	
87	85	81	88	105	79	64	109	79	80	77	59	72	74	88	67	83	50	51	85	73	60	68	61	96	49	70	70	82	93	81	79	84	61	76	57	86	75	70	108	72	71	53	3	
1021	1182	1059	1086	1149	1036	867	1140	1048	1076	918	917	916	1040	1057	938	1125	690	788	916	968	908	1106	902	1095	912	941	901	986	1144	964	1002	969	953	1090	1044	1001	1105	1097	1142	1034	1066	890	91	
48	53	43	44	55	39	45	44	27	44	33	44	47	35	55	45	54	19	35	41	38	35	52	47	32	43	40	41	46	39	41	40	42	56	39	50	54	50	45	36	41	47	45	3	
18	18	9	13	13	9	8	10	10	10	7	13	10	8	4	4	18	7	4	3	6	12	11	18	9	15	11	10	15	16	8	8	16	16	8	14	7	17	9	7	7	7	15	0	
23	25	14	15	11	19	16	17	14	19	12	25	15	19	27	14	16	12	18	20	8	19	27	29	22	22	11	14	22	18	16	22	19	22	12	23	8	25	26	19	24	24	25	1	
47	53	37	35	43	29	39	43	23	32	21	31	31	28	37	39	26	26	20	20	38	29	43	34	35	41	33	33	45	28	39	30	38	43	24	32	40	44	40	19	28	38	31	1	
