"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	
2505	2550	1663	181	1604	2183	713	1192	1336	321	223	824	237	1339	440	1533	1089	1138	621	253	1879	969	429	342	566	2309	2390	1274	502	222	79	843	1306	446	114	311	989	852	363	1181	829	1080	579	134	1026	158	1955	406	659	1138	828	1923	1494	464	362	958	178	1409	489	1802	1692	179	1067	403	161	289	
2130	2120	1410	150	1440	1870	630	1020	1160	270	180	820	230	1130	370	1300	930	960	610	240	1600	820	370	310	550	2130	2030	1110	470	190	70	830	1120	380	110	300	800	730	290	1020	720	870	510	120	1020	150	1620	340	630	970	700	1540	1260	380	320	950	170	1200	410	1500	1430	160	910	340	140	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1707	1716	1312	138	1305	1649	542	804	1023	240	158	672	179	1082	305	977	869	660	421	221	1093	608	346	272	468	1647	1735	809	409	143	60	739	976	359	96	256	749	577	277	867	558	811	392	48	890	130	1250	278	471	752	570	1361	1156	332	262	917	159	776	271	1407	1362	135	692	299	100	191	
66	93	71	5	63	129	49	66	52	11	11	13	6	47	8	100	61	82	21	19	112	26	22	18	15	46	56	82	21	5	2	54	105	21	5	17	46	42	13	53	50	41	50	50	44	0	51	4	17	48	35	33	41	17	17	26	11	77	20	62	36	4	49	9	10	20	
357	311	27	7	72	92	39	150	85	19	11	135	45	1	57	223	0	218	168	0	395	186	2	20	67	437	239	219	40	42	8	37	39	0	9	27	5	111	0	100	112	18	68	22	86	20	319	58	142	170	95	146	63	31	41	7	0	347	119	31	32	21	169	32	30	9	
66	93	71	5	63	129	49	66	52	11	11	13	6	47	8	100	61	82	21	19	112	26	22	18	15	46	56	82	21	5	2	54	105	21	5	17	46	42	13	53	50	41	50	50	44	0	51	4	17	48	35	33	41	17	17	26	11	77	20	62	36	4	49	9	10	20	
1706	1716	1312	138	1305	1649	542	804	1023	240	158	672	179	1082	305	977	869	660	421	221	1092	608	346	272	468	1647	1735	809	409	143	60	739	976	359	96	256	749	577	277	867	558	811	392	48	890	130	1249	278	471	752	570	1361	1156	332	262	917	159	776	271	1407	1362	135	692	299	100	191	
21	19	21	2	47	18	6	12	17	3	2	11	5	31	4	14	11	11	3	1	11	7	1	3	5	22	16	6	3	0	0	4	8	4	0	2	11	12	1	14	8	3	4	2	10	3	17	8	2	4	7	18	5	4	2	32	4	12	6	21	19	0	11	3	0	2	
1751	1790	1362	141	1321	1760	585	858	1058	248	167	674	180	1098	309	1063	919	731	439	239	1193	627	367	287	478	1671	1775	885	427	148	62	789	1073	376	101	271	784	607	289	906	600	849	438	96	924	127	1283	274	486	796	598	1376	1192	345	277	911	166	841	285	1448	1379	139	730	305	110	209	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	3	0	12	1	1	3	1	0	0	2	0	3	0	4	4	2	1	1	3	1	0	0	1	1	4	1	0	0	0	1	1	0	1	0	3	0	1	4	1	0	2	0	0	0	2	2	0	1	2	5	0	2	0	0	0	1	1	0	3	0	1	0	0	0	
25	44	17	1	28	41	13	32	20	9	13	21	10	10	14	16	14	13	6	2	25	15	12	2	16	36	47	33	3	4	0	5	11	13	0	7	14	12	0	20	18	25	12	4	12	3	31	6	12	10	4	34	14	13	7	7	3	25	15	25	31	5	21	9	7	7	
26	24	13	4	13	20	8	8	11	1	5	13	3	8	5	17	14	6	4	2	13	11	4	6	4	42	29	13	4	1	0	7	12	8	3	6	6	8	3	11	9	11	5	2	14	3	14	2	7	8	7	29	9	7	6	6	0	10	3	15	18	2	22	4	6	4	
1670	1653	1296	135	1204	1666	539	783	1011	233	144	607	163	1060	279	1000	853	671	409	220	1108	569	328	275	440	1557	1654	796	412	137	61	759	1015	344	94	246	742	571	274	817	568	795	409	84	890	116	1189	242	453	769	573	1261	1148	314	261	893	159	765	253	1379	1298	127	675	277	96	186	
19	53	24	0	32	20	17	26	6	4	4	22	2	10	6	13	15	19	12	5	26	25	14	3	6	18	24	28	8	4	0	13	24	9	3	10	5	14	8	34	3	16	7	3	4	4	28	17	11	4	8	35	14	3	1	5	2	30	11	18	20	2	7	12	0	6	
5	1	1	0	11	1	1	0	4	0	0	4	1	0	0	2	2	5	1	0	3	0	1	1	6	6	3	3	0	0	0	0	3	0	0	0	8	0	1	3	1	1	1	0	0	0	2	0	2	1	1	0	0	1	2	0	0	1	0	2	1	0	0	1	0	0	
2	2	5	1	6	5	2	2	4	0	0	3	1	2	2	3	4	2	2	1	6	2	2	0	2	4	6	2	0	0	1	0	1	0	0	0	2	1	2	1	0	0	1	1	2	0	3	0	0	0	3	3	3	2	0	0	0	3	2	1	0	0	3	1	0	4	
3	12	3	0	15	6	4	4	1	1	1	2	0	5	3	8	13	13	4	8	9	4	6	0	3	7	8	9	0	2	0	4	6	2	0	2	4	1	0	16	0	1	1	2	2	1	14	5	1	3	0	9	4	3	0	0	2	6	0	8	8	3	1	1	1	2	
