"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	
1711	1106	1188	1697	563	544	868	1019	533	633	1345	223	389	
1400	900	1000	1400	500	500	700	800	400	500	1100	200	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	
869	558	638	971	266	314	459	447	254	333	727	90	209	
122	103	65	91	157	92	102	264	130	115	66	76	45	
409	239	297	338	77	94	139	89	16	52	307	34	46	
122	103	65	91	157	92	102	264	130	115	66	76	45	
869	558	638	971	266	314	459	447	254	332	727	90	209	
7	4	5	14	4	1	4	13	2	5	8	0	1	
984	657	698	1048	419	405	557	698	382	442	785	166	253	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	6	6	4	0	2	5	4	0	6	3	6	
133	66	79	113	38	42	33	37	18	48	116	8	20	
67	35	46	67	35	30	34	66	21	24	68	15	17	
759	518	546	836	340	327	477	571	330	353	573	125	205	
6	12	5	5	0	3	3	7	4	5	6	7	4	
8	8	10	12	0	0	2	7	2	6	7	3	0	
2	4	3	6	1	0	3	3	2	4	6	2	1	
8	12	3	3	1	3	3	2	1	2	3	3	0	
