"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	
319	1262	1277	1236	406	266	301	339	495	253	271	
350	1300	1300	1300	500	300	380	350	600	300	300	
4	0	3	0	39	4	6	5	34	2	1	
291	1010	878	1073	326	251	266	313	446	239	230	
15	60	78	52	17	5	14	21	14	12	10	
40	230	341	175	118	40	94	11	106	47	59	
19	60	81	52	56	9	20	26	48	14	11	
291	1010	878	1073	326	251	266	313	446	239	230	
1	3	7	5	2	1	2	2	1	1	0	
309	1067	952	1120	380	259	284	337	493	252	241	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

1	2	1	1	1	2	1	1	0	0	0	
89	400	328	425	65	75	72	63	124	81	74	
1	7	9	4	16	1	1	4	10	3	2	
215	640	591	669	292	181	205	262	346	162	161	
2	14	14	11	4	0	4	6	9	5	2	
1	1	2	1	0	0	1	0	1	0	1	
0	2	3	2	0	0	0	0	1	1	0	
0	1	4	7	2	0	0	1	2	0	1	
