"УИК №3501"	"УИК №3502"	"УИК №3503"	"УИК №3504"	"УИК №3505"	"УИК №3506"	"УИК №3507"	"УИК №3508"	"УИК №3509"	"УИК №3510"	"УИК №3511"	"УИК №3512"	"УИК №3513"	"УИК №3514"	"УИК №3515"	"УИК №3516"	"УИК №3517"	"УИК №3518"	"УИК №3519"	"УИК №3520"	"УИК №3521"	"УИК №3522"	"УИК №3523"	"УИК №3524"	"УИК №3525"	"УИК №3526"	"УИК №3527"	"УИК №3528"	"УИК №3529"	"УИК №3530"	
1418	1341	1398	1374	1326	1279	1736	172	1057	995	1064	1386	374	1360	1106	1121	330	74	908	534	1143	269	213	1547	238	244	946	1076	1538	702	
1480	1350	1350	1350	1298	1300	1750	160	1100	1000	1100	1450	600	1450	1100	1150	350	100	1110	600	1150	250	200	1650	250	200	950	1100	1540	767	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
810	1060	1059	1218	679	894	926	107	879	639	549	727	349	716	846	879	235	49	615	385	934	212	180	877	143	101	791	631	666	394	
50	147	201	34	58	70	54	40	95	211	33	52	25	65	65	141	62	21	266	125	125	23	13	53	12	67	45	63	64	29	
620	143	90	98	561	336	770	13	126	150	518	671	226	669	189	130	53	30	229	90	91	15	7	720	95	32	114	406	810	344	
50	147	201	34	58	70	54	40	95	211	33	52	25	65	65	141	62	21	266	125	125	23	13	53	12	67	45	63	64	29	
760	1060	1059	1218	679	894	926	107	879	639	549	727	349	716	846	879	235	49	615	385	934	212	180	877	143	101	791	631	666	394	
13	6	2	16	5	13	10	3	0	10	12	6	4	10	0	0	0	0	3	6	3	1	0	11	5	2	0	10	5	6	
797	1201	1258	1236	732	951	970	144	974	840	570	773	370	771	911	1020	297	70	878	504	1056	234	193	919	150	166	836	684	725	417	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	0	3	9	7	8	1	39	10	7	3	0	2	2	3	2	0	1	0	2	0	0	6	0	0	0	5	5	2	
144	90	98	140	131	138	173	14	22	77	123	124	39	117	104	73	6	1	47	43	53	12	15	148	11	16	41	85	106	31	
50	22	21	44	43	42	51	5	49	45	40	41	25	56	26	55	15	3	9	10	27	3	4	35	16	13	25	29	38	30	
580	1077	1134	1026	533	735	698	120	809	695	384	588	293	584	772	878	273	66	819	440	967	216	168	714	119	132	753	547	556	348	
6	2	2	10	5	8	18	3	13	6	5	7	1	8	4	4	1	0	1	7	1	1	5	5	1	1	8	7	12	4	
7	1	1	2	4	5	7	1	5	7	8	6	3	2	2	4	0	0	1	2	4	2	0	7	1	3	0	3	1	1	
6	0	0	3	5	5	9	0	11	0	1	3	5	2	0	2	0	0	0	0	2	0	1	2	1	0	2	6	1	0	
1	7	2	8	2	11	6	0	26	0	2	1	4	0	1	1	0	0	0	2	0	0	0	2	1	1	7	2	6	1	
