"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	
67	731	130	195	93	245	117	216	54	172	234	259	809	701	850	203	
70	750	139	198	94	245	126	230	58	187	250	275	800	700	800	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	396	67	67	44	132	59	109	32	99	147	123	472	381	429	53	
3	38	17	48	10	17	14	20	1	20	27	20	26	39	92	64	
35	316	55	83	40	96	53	101	25	68	76	132	302	280	279	93	
3	38	17	48	10	17	14	20	1	20	27	20	26	39	92	64	
32	396	67	67	44	132	59	109	32	99	147	123	472	381	429	53	
0	6	2	0	0	0	1	1	0	1	0	0	6	3	5	1	
35	428	82	115	54	149	72	128	33	118	174	143	492	417	516	116	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	5	1	3	0	0	0	5	0	1	2	0	5	3	3	5	
9	105	13	11	14	32	12	19	10	33	35	18	128	96	101	11	
4	35	4	21	4	13	7	8	5	11	13	8	40	37	52	9	
22	273	63	78	32	103	53	95	17	70	118	112	305	276	344	89	
0	8	1	0	2	0	0	1	0	3	2	4	2	0	6	2	
0	2	0	1	1	0	0	0	0	0	3	1	4	0	3	0	
0	0	0	1	0	1	0	0	1	0	1	0	2	5	2	0	
0	0	0	0	1	0	0	0	0	0	0	0	6	0	5	0	
