"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	4	7	3	8	7	4	9	7	12	12	8	5	17	7	11	7	8	14	5	3	10	2	10	9	8	4	10	8	15	8	8	13	12	6	12	5	4	6	4	6	9	10	3	4	11	5	3	6	6	6	17	8	5	9	9	12	7	5	6	4	8	8	8	3	10	17	15	9	13	7	4	7	7	5	7	7	5	7	8	11	16	12	8	3	9	10	8	7	11	5	0	5	6	5	10	2	6	11	10	8	5	13	6	3	1	9	12	4	3	6	5	9	8	7	8	2	2	5	2	3	3	5	
185	222	247	173	137	138	132	201	178	192	156	184	140	142	157	183	121	142	162	193	172	146	141	195	146	157	165	170	167	195	176	187	159	176	193	182	190	179	156	164	187	179	173	153	197	234	192	125	150	116	189	190	190	115	188	160	123	159	138	123	147	147	122	132	209	147	179	211	176	176	146	108	129	128	95	185	182	177	170	105	131	187	185	151	209	115	181	222	138	104	97	28	92	136	77	220	196	152	108	176	130	144	178	131	186	95	100	218	121	139	246	133	204	189	117	149	98	90	119	108	65	175	125	
87	130	106	83	74	79	59	108	77	73	87	85	53	87	54	87	72	80	83	87	115	76	89	88	82	71	92	88	121	109	93	89	106	98	95	129	127	96	118	87	91	86	90	91	126	104	96	80	88	76	100	71	94	93	82	88	93	98	99	83	88	89	74	89	122	119	126	118	131	110	81	66	84	72	55	117	105	87	115	72	82	116	109	97	119	113	103	120	104	65	92	29	81	52	44	100	85	106	69	80	94	80	121	73	58	50	70	93	51	106	86	99	83	107	65	91	49	26	40	59	28	75	59	
1123	1531	1397	1393	1129	1017	927	1248	942	1266	1012	1043	1014	1228	825	1207	1075	1271	1261	1134	1314	938	1052	1198	1024	1160	1133	1098	1357	1404	1250	1226	1380	1543	1000	1392	1353	1043	1018	1193	1258	912	1308	1108	1425	1450	1149	777	1229	1108	1332	1202	1463	1145	1370	1217	1182	1286	1191	995	1105	1270	1161	1105	1383	1312	1572	1578	1427	1397	1018	1037	1084	1008	907	1371	1290	1171	1286	1077	959	1327	1180	1176	1215	1121	1203	1511	1137	763	828	205	599	526	518	1171	1057	1220	815	1052	1077	1075	1211	1017	870	608	765	1241	850	992	940	968	974	1231	899	888	578	371	460	695	326	851	579	
35	40	30	38	22	21	28	24	14	27	25	25	16	35	15	44	18	43	33	23	39	23	29	18	13	21	24	29	33	46	41	30	33	35	24	33	22	12	22	33	27	21	31	24	28	37	39	25	28	23	29	25	46	31	41	25	28	35	19	17	22	25	31	23	23	40	45	52	43	51	22	17	12	12	18	32	23	32	29	14	25	28	30	22	47	26	30	33	19	10	9	2	11	10	8	16	23	27	14	26	18	15	27	16	24	11	13	28	28	24	21	17	24	54	28	15	14	5	9	16	7	15	19	
11	9	15	10	3	4	6	9	5	5	11	5	7	7	2	7	6	6	6	7	13	7	10	10	8	3	4	11	13	15	14	8	10	15	6	5	15	6	7	11	2	4	2	10	5	6	6	3	11	7	7	11	4	9	6	5	7	8	10	7	3	6	8	17	2	7	12	9	5	5	4	5	8	5	4	7	12	7	10	5	7	5	4	11	17	5	6	6	9	2	7	2	7	8	7	9	6	6	13	7	7	9	16	4	9	4	5	9	3	4	5	9	5	9	6	7	2	1	4	5	0	4	4	
9	21	5	19	4	6	10	13	3	7	11	8	6	10	3	13	17	11	10	12	17	11	7	9	14	15	7	7	14	17	13	10	8	18	6	11	10	9	6	15	11	9	14	4	7	16	12	4	18	8	13	9	20	13	24	13	12	16	7	4	13	18	13	8	12	9	14	21	13	14	13	12	10	8	6	6	7	10	9	10	10	10	10	7	10	7	9	13	13	3	1	1	3	3	5	1	7	7	9	14	13	8	8	5	8	1	7	9	8	17	3	7	6	12	5	6	5	3	4	8	2	5	4	
20	24	13	20	13	17	7	20	5	16	8	6	4	19	6	14	14	17	12	8	7	10	14	8	4	9	9	9	15	12	14	10	16	13	13	12	7	5	14	13	15	4	12	12	4	13	10	11	13	8	14	13	18	18	24	18	11	11	10	11	12	12	14	5	22	16	25	22	18	14	7	10	9	10	4	12	16	13	13	5	16	21	12	8	17	16	14	24	6	4	3	0	4	2	3	9	6	6	7	10	10	7	3	11	7	6	7	5	14	7	4	8	9	19	10	9	3	3	2	1	4	9	4	
