"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	
1402	1071	996	1676	1348	1071	1122	1331	1194	879	1041	867	1136	724	616	1339	847	900	988	1095	
1438	1100	995	1720	1370	1108	1144	1344	1220	907	1049	877	1169	734	614	1356	865	918	1008	1114	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1245	936	967	1469	1147	934	950	1155	1040	711	899	743	1009	632	440	1155	742	785	758	921	
13	34	20	42	51	32	59	44	36	85	38	33	22	30	114	56	29	23	127	60	
180	130	8	209	172	142	135	145	144	111	112	101	138	72	60	145	94	110	123	133	
13	34	20	42	51	32	59	44	36	85	38	33	22	30	114	56	29	23	127	60	
1245	936	967	1469	1147	934	950	1155	1040	711	899	743	1009	632	440	1155	742	785	758	921	
1	1	3	1	2	1	1	0	2	1	1	4	1	1	0	1	1	1	2	1	
1257	969	984	1510	1196	965	1008	1199	1074	795	936	772	1030	661	554	1210	770	807	883	980	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	8	6	9	6	9	8	9	8	8	5	2	4	2	9	4	6	7	5	
31	14	22	26	27	8	18	22	31	21	14	16	11	8	8	11	12	10	12	14	
26	33	24	38	35	14	33	44	33	22	30	31	22	22	16	31	12	18	22	21	
1156	886	888	1410	1095	915	912	1098	965	722	852	706	976	611	514	1134	722	754	821	916	
8	6	11	8	9	8	8	8	14	6	6	3	6	6	6	8	7	7	6	8	
6	6	8	5	4	2	11	3	5	2	8	3	3	4	2	3	2	2	2	4	
11	8	11	9	9	6	9	8	4	6	10	2	2	4	2	6	6	4	7	4	
16	10	12	8	8	6	8	8	13	8	8	6	8	2	4	8	5	6	6	8	
