"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	
2430	2325	2726	2516	3360	2628	2678	2839	2568	2463	2337	2413	1970	2206	2251	2151	2447	2611	2692	2461	2694	2788	2356	2414	2177	2322	
2000	2000	2300	2100	2600	2200	2300	2300	2200	2100	2000	2100	1800	2000	2000	2000	2300	2300	2400	2200	2300	2200	2000	2100	1800	2100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1451	1264	1678	1472	1976	1561	1507	1669	1411	1500	1398	1318	1041	1109	1205	1198	1336	1444	1584	1437	1485	1682	1338	1376	1226	1334	
41	39	66	88	75	76	67	54	91	39	74	84	78	54	57	88	70	66	62	45	73	46	64	61	72	69	
508	697	556	540	549	563	726	577	698	561	528	698	681	837	738	714	894	790	754	718	742	472	598	663	502	697	
41	39	66	88	75	76	67	54	91	39	74	84	78	54	57	88	70	64	62	45	73	45	64	61	72	69	
1451	1263	1678	1472	1974	1553	1501	1667	1408	1496	1398	1318	1041	1109	1205	1197	1335	1443	1579	1435	1485	1680	1337	1370	1226	1334	
25	21	17	36	43	15	23	34	26	26	29	18	15	19	8	13	28	23	28	10	25	19	55	24	19	17	
1467	1281	1727	1524	2006	1614	1545	1687	1473	1509	1443	1384	1104	1144	1254	1272	1377	1484	1613	1470	1533	1706	1346	1407	1279	1386	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	9	20	14	21	8	17	12	22	15	22	20	8	11	14	19	18	20	15	18	17	19	19	17	12	11	
177	165	201	206	243	203	179	215	174	212	159	163	129	115	133	108	171	189	222	183	180	268	154	190	165	165	
100	73	75	62	105	77	49	74	61	70	50	58	58	58	64	65	65	79	77	77	72	96	82	62	61	53	
1079	915	1266	1064	1424	1155	1093	1198	1023	1015	1044	994	799	863	928	942	1009	1074	1161	1037	1099	1207	944	1017	949	1036	
40	47	70	72	97	82	99	76	81	78	76	47	38	36	49	53	44	57	49	69	64	52	58	56	35	39	
7	11	13	19	21	13	10	12	12	10	5	13	10	11	5	12	11	14	13	9	8	12	6	11	11	15	
15	26	20	27	34	16	24	38	28	36	29	34	17	12	17	23	23	16	34	21	35	17	24	16	17	16	
34	35	62	60	61	60	74	62	72	73	58	55	45	38	44	50	36	35	42	56	58	35	59	38	29	51	
