"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	
263	79	392	779	37	47	296	
250	60	350	670	30	40	250	
0	0	210	153	0	0	0	
175	39	108	325	30	36	174	
4	0	16	41	0	0	27	
71	21	16	151	0	4	49	
4	0	226	192	0	0	27	
175	39	108	325	30	36	174	
0	0	1	3	0	0	1	
179	39	333	514	30	36	200	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

1	1	2	7	0	0	0	
6	0	14	23	1	0	8	
10	2	42	55	0	3	6	
158	36	275	418	29	33	184	
2	0	0	3	0	0	1	
0	0	0	2	0	0	0	
0	0	0	4	0	0	0	
2	0	0	2	0	0	1	
