"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	
1614	1809	1732	1812	1534	813	597	236	400	133	1384	106	718	601	134	218	279	621	652	127	263	104	
1550	1800	1750	1750	1550	850	560	230	410	140	1430	120	760	610	140	220	290	670	690	130	265	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
895	985	1068	1125	764	400	234	128	164	57	589	70	324	295	84	114	170	269	359	69	140	79	
68	81	100	62	141	140	124	18	80	13	153	13	100	110	9	43	21	106	45	10	28	5	
587	734	582	563	645	310	202	84	166	70	688	37	336	205	47	63	99	295	286	51	97	26	
68	81	100	62	141	140	124	18	80	13	153	13	100	110	9	43	21	106	45	10	28	5	
895	985	1068	1125	764	400	234	128	164	57	589	70	324	295	84	114	170	269	359	69	140	79	
9	8	16	20	8	15	1	2	2	0	3	2	3	7	1	5	0	2	9	1	0	0	
954	1058	1152	1167	897	525	357	144	242	70	739	81	421	398	92	152	191	373	395	78	168	84	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	9	9	6	11	0	1	2	2	1	4	0	2	3	0	0	2	1	2	0	0	0	
175	203	217	202	178	77	48	25	24	9	123	5	73	72	5	13	26	57	65	1	16	9	
131	111	107	156	112	89	36	15	29	6	79	14	54	52	11	19	26	30	57	5	18	6	
609	713	771	765	573	350	263	99	180	53	512	59	282	263	74	120	132	275	258	70	129	66	
18	9	8	14	8	5	3	0	3	0	6	2	0	3	1	0	1	1	3	2	2	2	
6	6	12	7	6	4	3	3	2	1	8	1	1	1	1	0	0	5	8	0	0	1	
10	5	18	8	5	0	0	0	2	0	5	0	5	1	0	0	3	2	2	0	1	0	
2	2	10	9	4	0	3	0	0	0	2	0	4	3	0	0	1	2	0	0	2	0	
