"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	
642	469	644	643	450	200	541	288	561	97	549	453	489	171	352	457	
677	502	643	715	480	220	599	286	604	99	576	464	563	186	372	523	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
504	380	501	566	325	184	429	231	356	89	376	300	347	137	320	325	
22	8	50	14	36	6	92	30	40	6	54	118	97	25	26	123	
151	114	92	135	119	30	78	25	208	4	146	46	119	24	26	75	
22	8	50	14	36	6	92	30	40	6	54	118	97	25	26	123	
504	380	501	566	325	184	429	231	356	89	376	300	347	137	320	325	
1	4	2	0	1	0	0	0	0	0	1	0	0	0	0	0	
525	384	549	580	360	190	521	261	396	95	429	418	444	162	346	448	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	2	0	1	1	0	0	0	0	0	1	0	0	0	0	
12	80	25	54	15	2	15	10	50	2	163	7	7	3	6	8	
0	1	2	4	2	1	0	1	4	0	10	0	1	0	0	0	
512	293	516	509	336	186	506	248	339	93	255	410	435	159	340	440	
1	5	0	4	3	0	0	1	1	0	1	0	1	0	0	0	
0	1	2	3	1	0	0	1	0	0	0	0	0	0	0	0	
0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	3	1	0	0	0	2	0	0	0	0	0	0	0	
