"УИК №2730"	"УИК №2732"	"УИК №2733"	"УИК №2734"	"УИК №2735"	"УИК №2736"	"УИК №2737"	"УИК №2739"	"УИК №2740"	"УИК №2741"	"УИК №2742"	"УИК №2743"	"УИК №2744"	"УИК №2745"	"УИК №2746"	"УИК №2747"	"УИК №2748"	"УИК №2749"	"УИК №2750"	"УИК №2751"	"УИК №2752"	"УИК №2753"	"УИК №2754"	"УИК №2755"	"УИК №2756"	"УИК №2757"	"УИК №2758"	"УИК №2759"	"УИК №2760"	
2431	2663	2247	2097	1046	1233	1933	2560	1457	934	2131	2105	2097	1124	1463	2427	826	1568	2169	465	1663	2199	2635	2150	724	1781	515	330	471	
2500	2600	2300	2200	1100	1200	2050	2500	1500	950	2100	2150	2100	1100	1420	2400	800	1500	2100	450	1600	2200	2500	2200	700	1500	500	350	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	2215	1930	1730	727	821	1666	1821	1057	774	1592	1046	1508	661	761	2126	655	1334	1561	379	1441	1840	2342	1559	480	1404	438	330	471	
74	59	75	52	120	48	96	285	182	32	182	200	400	60	123	204	72	61	81	20	66	203	67	75	11	93	22	0	0	
457	326	295	418	253	331	288	394	261	144	326	904	192	379	536	70	73	105	458	51	93	157	91	566	209	3	40	20	79	
74	59	75	52	120	46	96	285	182	32	182	200	400	60	123	204	72	61	81	20	66	203	67	75	11	93	22	0	0	
1969	2215	1855	1730	727	820	1654	1821	1057	774	1592	1046	1508	661	760	2126	655	1334	1561	379	1441	1840	2342	1559	480	1404	438	330	471	
8	6	14	11	7	0	12	3	0	9	13	28	0	7	5	0	0	12	22	4	4	23	5	3	1	0	0	0	13	
2035	2268	1916	1771	840	866	1738	2103	1239	797	1761	1218	1908	714	878	2330	727	1383	1620	395	1503	2020	2404	1631	490	1497	460	330	458	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	9	11	1	7	31	6	10	2	2	7	10	2	7	4	2	3	5	8	2	10	14	11	1	4	13	2	1	3	
101	234	70	83	116	21	141	221	156	41	186	219	6	130	140	30	35	90	216	8	75	174	115	252	63	75	29	4	29	
32	70	57	18	36	15	55	77	8	14	28	60	110	29	54	13	20	32	81	3	60	55	92	19	27	60	10	3	18	
1844	1812	1654	1533	658	785	1348	1753	1066	707	1502	882	1659	519	656	2260	640	1180	1271	336	1291	1740	2081	1343	379	1320	396	317	391	
5	17	9	6	8	3	5	10	2	3	6	11	5	13	8	7	4	7	14	1	7	4	12	7	5	11	2	1	9	
40	101	95	125	9	4	166	9	2	25	23	16	119	6	7	7	22	56	13	40	45	14	69	7	3	7	16	3	3	
8	13	10	3	0	4	6	12	1	2	4	6	4	0	2	2	0	7	6	2	8	6	10	1	1	7	0	0	3	
2	12	10	2	6	3	11	11	2	3	5	14	3	10	7	9	3	6	11	3	7	13	14	1	8	4	5	1	2	
