"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	
1728	1730	121	157	259	602	147	201	70	423	236	119	184	101	56	154	341	245	97	
1837	1801	124	134	263	585	123	180	50	422	233	125	181	113	42	146	338	243	86	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
715	852	55	74	110	303	89	90	31	209	100	42	80	46	40	78	203	127	49	
59	29	19	22	24	64	24	46	17	31	29	5	49	18	0	22	37	25	15	
1063	920	50	38	129	218	10	44	2	182	104	78	52	49	2	46	98	91	22	
59	29	19	22	24	64	24	46	17	31	29	5	49	18	0	22	37	25	15	
715	852	55	74	110	303	89	90	31	209	100	42	80	46	40	78	203	127	49	
13	21	1	1	0	2	2	2	0	1	0	0	2	0	0	2	3	0	0	
761	860	73	95	134	365	111	134	48	239	129	47	127	64	40	98	237	152	64	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	10	1	0	0	3	1	3	0	1	1	0	0	1	0	0	0	0	0	
152	127	17	33	13	42	14	38	1	47	10	4	5	20	3	3	40	16	4	
66	78	2	3	8	30	5	3	2	14	6	5	26	2	3	14	11	14	8	
523	616	52	57	112	287	89	89	44	171	109	37	95	39	34	80	179	121	51	
3	8	1	1	0	1	1	0	1	3	1	1	1	1	0	0	2	1	0	
7	11	0	0	1	1	1	0	0	1	0	0	0	1	0	1	2	0	0	
4	4	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	
3	6	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	
