"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	
1658	1743	1418	1889	1574	1891	2356	2159	2244	2366	163	50	
1500	1650	1300	1700	1450	1750	2150	2000	2050	2150	250	70	
0	0	0	0	0	0	0	0	0	0	0	0	
824	833	685	940	783	1038	1254	1141	1190	926	75	50	
93	126	78	104	89	57	136	131	106	214	80	0	
583	691	537	656	578	655	760	728	754	1010	95	20	
93	126	78	104	89	57	136	131	106	214	80	0	
823	833	685	940	783	1038	1254	1141	1190	926	75	50	
11	12	12	14	8	13	18	24	16	10	1	3	
905	947	751	1030	864	1082	1372	1248	1280	1130	154	47	
0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	

9	8	5	10	6	7	11	11	13	10	3	0	
133	118	97	142	125	168	223	190	205	197	18	2	
117	130	90	127	93	139	142	140	156	130	23	12	
617	658	530	710	607	722	941	858	858	752	104	28	
15	21	13	13	9	20	21	11	16	14	4	2	
4	5	8	12	10	9	11	19	14	19	2	0	
6	6	4	12	12	12	15	14	9	3	0	3	
4	1	4	4	2	5	8	5	9	5	0	0	
