"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	
1793	2019	134	171	142	156	306	79	97	100	184	185	141	75	449	155	
1934	2199	152	192	148	141	377	80	102	92	195	201	139	86	496	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1190	1232	88	123	107	130	222	53	88	69	132	54	93	59	264	147	
58	92	19	29	26	11	47	14	3	22	40	104	37	6	76	3	
686	875	45	40	15	0	108	13	11	1	23	43	9	21	156	0	
58	92	19	29	26	11	47	14	3	22	40	104	37	6	76	3	
1190	1232	88	123	107	130	222	53	88	69	132	54	93	59	264	147	
12	18	1	0	0	1	7	0	0	0	0	1	0	1	1	1	
1236	1306	106	152	133	140	262	67	91	91	172	157	130	64	339	149	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	11	1	0	2	0	0	0	0	0	2	3	0	0	3	0	
118	137	14	11	5	3	13	2	3	2	6	17	22	2	27	19	
108	90	6	5	8	2	12	1	0	1	10	16	11	7	21	11	
972	1035	85	134	118	133	231	62	87	88	149	115	96	55	276	112	
11	13	0	1	0	0	1	1	1	0	3	1	0	0	4	0	
5	12	0	1	0	2	2	1	0	0	1	1	1	0	5	5	
5	3	0	0	0	0	3	0	0	0	1	3	0	0	3	1	
7	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
