"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	
492	268	226	2068	1537	453	310	129	327	618	300	852	272	
402	247	178	1648	1287	374	237	102	264	496	236	636	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	
236	139	107	1281	820	258	133	73	133	282	60	438	66	
92	58	38	235	261	53	82	24	60	174	126	108	70	
74	50	33	132	206	63	22	5	71	40	50	90	79	
92	58	38	235	261	53	82	24	60	174	126	108	70	
236	139	107	1281	820	258	133	73	133	282	60	438	66	
2	4	0	28	9	1	3	0	1	2	0	4	3	
326	193	145	1488	1072	310	212	97	192	454	186	542	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	1	11	6	3	0	0	1	3	1	3	3	
24	25	27	166	140	34	25	12	21	46	11	26	8	
36	19	13	179	142	51	30	17	27	61	18	51	22	
255	140	100	1083	752	215	152	68	140	333	154	438	94	
5	3	3	25	18	3	3	0	3	4	1	8	2	
1	1	0	9	6	1	0	0	0	3	1	3	1	
1	2	0	5	5	2	1	0	0	3	0	9	1	
3	0	1	10	3	1	1	0	0	1	0	4	2	
