"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	
178	1953	2171	2155	1326	1742	1934	1465	2243	713	852	150	422	810	399	172	177	2502	2308	2002	705	234	130	637	220	201	534	208	182	113	835	129	856	490	649	724	507	198	568	139	212	729	390	720	381	608	417	803	880	573	524	93	525	214	40	243	700	91	94	267	418	1467	
160	1770	2000	1890	1190	1600	1820	1330	2060	650	770	120	370	730	370	150	160	2270	2080	1820	650	220	110	600	190	180	480	180	170	90	760	100	760	440	590	670	460	180	510	120	190	640	360	690	370	560	290	730	800	510	490	100	500	200	42	230	620	80	90	320	380	1410	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103	1010	1205	1356	766	930	1059	804	1148	418	460	87	244	454	226	105	135	1445	1342	1125	429	155	85	343	116	119	279	99	91	44	424	86	480	220	352	413	270	132	265	85	104	448	226	539	255	390	160	498	427	240	405	80	375	121	29	163	363	59	56	227	314	663	
15	64	69	192	107	65	184	85	123	62	98	20	16	50	43	15	17	81	65	67	48	15	11	46	31	13	32	33	39	39	193	6	75	52	49	85	29	11	28	8	11	37	28	36	22	35	105	76	39	48	51	3	31	26	9	15	37	1	6	17	25	219	
42	696	726	342	317	605	577	441	789	170	212	13	110	226	101	30	8	744	673	628	173	50	14	211	43	48	169	48	40	7	143	8	205	168	189	172	161	37	217	27	75	155	106	115	93	135	25	156	334	222	34	17	94	53	4	52	220	20	28	76	41	528	
15	64	69	192	107	65	184	85	123	62	98	20	16	50	43	15	17	81	65	67	48	15	11	46	31	13	32	33	39	39	193	6	75	52	49	85	29	11	28	8	11	37	28	36	22	35	105	76	39	48	51	3	31	26	9	15	37	1	6	17	25	219	
103	1010	1204	1356	766	930	1059	804	1148	418	460	87	244	454	226	105	135	1445	1342	1125	429	155	85	343	116	119	279	99	91	44	424	86	480	220	352	413	270	132	265	85	104	448	226	539	255	390	160	498	427	240	405	80	375	121	29	163	363	59	56	227	314	663	
3	21	28	19	22	25	15	12	26	7	6	1	2	5	6	5	0	22	31	29	5	2	1	3	8	0	2	0	2	0	5	0	9	1	2	8	3	0	4	0	3	6	3	3	2	4	5	9	5	2	1	0	5	3	0	2	1	1	0	5	1	19	
115	1053	1245	1529	851	970	1228	877	1245	473	552	106	258	499	263	115	152	1504	1376	1163	472	168	95	386	139	132	309	132	128	83	612	92	546	271	399	490	296	143	289	93	112	479	251	572	275	421	260	565	461	286	455	83	401	144	38	176	399	59	62	239	338	863	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	6	7	18	2	8	9	7	8	1	2	0	0	1	6	1	2	5	6	4	2	0	0	2	2	1	1	0	1	0	2	0	2	2	1	3	2	0	1	0	0	3	3	1	7	3	4	2	0	0	2	0	2	0	0	0	3	0	0	0	2	7	
5	177	180	229	122	133	178	137	206	44	88	10	28	61	32	9	13	345	315	211	41	26	1	51	39	7	27	6	6	0	58	4	66	31	31	61	33	14	30	7	10	41	16	52	18	35	38	90	57	29	52	5	52	17	2	9	54	4	12	29	85	87	
11	96	131	146	73	110	123	87	159	37	61	9	28	68	29	13	27	172	124	115	46	23	14	43	19	11	37	19	19	11	59	7	64	25	61	52	44	26	25	9	11	48	18	70	24	49	32	67	38	33	83	9	69	12	1	26	36	2	6	22	17	92	
96	754	892	1101	633	697	881	618	843	383	395	87	198	358	189	89	108	961	897	810	371	119	79	285	76	109	237	107	100	71	486	80	402	212	298	368	210	102	221	76	88	376	209	438	222	330	181	389	360	213	301	69	270	114	35	138	288	53	44	182	225	663	
1	7	10	14	10	6	19	9	12	3	3	0	1	3	1	1	2	8	12	6	5	0	0	0	0	0	3	0	1	0	3	0	4	0	2	1	2	1	5	0	1	6	2	1	4	1	1	8	2	6	8	0	4	1	0	1	5	0	0	2	2	1	
1	6	14	1	3	10	12	6	9	3	2	0	1	5	6	0	0	6	11	3	4	0	0	4	3	3	4	0	1	1	2	1	2	0	3	3	2	0	4	1	2	3	2	6	0	2	2	4	2	2	7	0	3	0	0	1	5	0	0	1	4	10	
0	4	5	9	6	6	1	5	5	2	0	0	1	1	0	0	0	4	4	10	2	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	3	0	0	0	0	1	1	1	0	0	0	3	0	2	1	0	1	0	0	0	5	0	0	2	2	3	
0	3	6	11	2	0	5	8	3	0	1	0	1	2	0	2	0	3	7	4	1	0	1	1	0	1	0	0	0	0	2	0	2	0	1	2	0	0	3	0	0	1	0	3	0	1	2	2	2	1	1	0	0	0	0	1	3	0	0	1	1	0	
