"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	
153	142	52	219	210	152	322	686	332	246	1381	1185	85	80	288	481	176	346	105	148	96	635	550	575	522	315	247	
150	145	70	230	200	145	335	680	340	250	1430	1250	85	75	295	495	185	385	105	150	90	655	565	595	525	310	245	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87	90	42	147	128	87	225	394	209	182	785	716	50	54	158	265	97	206	73	71	51	424	391	368	311	218	157	
12	10	10	21	15	19	23	42	40	21	62	37	18	2	48	77	34	46	10	29	18	34	20	59	52	21	28	
51	45	18	62	57	39	87	244	91	47	583	497	17	19	89	153	54	133	22	50	21	197	154	168	162	71	60	
12	10	10	21	15	19	23	42	40	21	62	37	18	2	48	77	34	46	10	29	18	34	20	59	52	21	28	
87	90	42	147	128	87	225	394	209	182	785	716	50	54	158	265	97	206	73	71	51	424	391	368	311	218	157	
1	1	0	1	0	1	1	5	1	0	13	5	0	0	2	3	1	1	0	0	0	7	3	4	2	3	1	
98	99	52	167	143	105	247	431	248	203	834	748	68	56	204	339	130	251	83	100	69	451	408	423	361	236	184	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	0	0	1	4	2	1	2	3	0	1	3	0	1	0	0	0	0	1	2	2	0	0	1	
35	10	3	36	17	9	74	81	35	28	168	139	16	12	43	64	8	26	7	10	7	93	75	91	76	24	31	
4	2	2	9	5	10	20	33	18	9	56	61	12	3	10	36	20	30	9	9	8	40	18	12	13	18	19	
54	85	47	116	119	86	147	304	191	159	586	521	39	39	148	232	97	192	64	78	54	309	302	309	269	186	130	
2	0	0	1	1	0	0	4	0	2	4	5	0	1	0	2	2	1	0	0	0	2	2	1	1	2	0	
1	2	0	3	0	0	4	0	1	2	11	10	0	0	0	2	2	2	1	2	0	5	4	7	1	1	2	
0	0	0	0	0	0	1	5	1	1	5	6	0	0	0	3	0	0	0	1	0	1	5	0	1	3	0	
2	0	0	1	1	0	0	0	0	1	2	3	1	0	0	0	0	0	2	0	0	0	0	1	0	2	1	
