"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	
314	1358	364	612	365	412	2359	1178	360	748	633	319	835	784	261	497	813	765	813	344	345	240	675	698	460	321	273	
330	1300	400	570	320	380	2000	1000	400	700	660	280	820	800	270	500	750	740	770	310	320	220	730	660	460	300	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
184	868	260	391	263	259	1331	646	241	429	460	229	484	519	197	390	499	567	513	222	215	185	491	458	265	223	177	
66	117	31	96	49	74	200	142	63	88	19	23	98	101	14	59	111	70	99	19	28	13	88	45	42	37	10	
80	315	109	83	8	47	469	212	96	183	181	28	238	180	59	51	140	103	158	69	77	22	151	157	153	40	73	
66	117	31	96	49	74	200	142	63	88	19	23	98	101	14	59	111	70	99	19	28	13	88	45	42	37	10	
184	868	260	391	263	259	1330	646	241	429	460	229	484	519	197	390	499	567	513	222	215	185	491	458	265	223	177	
3	12	2	12	6	4	25	11	4	4	4	5	12	4	6	6	0	9	11	1	6	0	3	10	1	1	0	
247	973	289	475	306	329	1505	777	300	513	475	247	570	616	205	443	610	628	601	240	237	198	576	493	306	259	187	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	4	4	1	1	6	5	1	2	1	2	2	5	0	2	2	2	3	0	2	2	1	5	0	1	1	
49	251	61	114	70	42	352	165	43	119	98	35	80	121	35	123	117	119	149	44	43	51	106	128	63	39	42	
25	63	28	35	39	40	123	67	33	38	48	34	40	46	31	21	64	82	39	30	12	16	28	38	17	16	14	
170	631	192	318	194	243	986	527	220	340	320	173	441	437	137	290	416	419	399	163	176	124	428	317	223	196	130	
0	8	4	3	1	1	8	3	0	7	2	2	1	3	2	5	2	3	1	1	2	3	5	1	0	2	0	
1	6	0	1	1	1	22	6	2	2	2	0	4	1	0	2	6	3	4	0	1	0	5	2	1	1	0	
0	6	0	0	0	1	4	1	1	3	4	1	1	1	0	0	1	0	2	1	0	1	2	0	2	2	0	
1	4	0	0	0	0	4	3	0	2	0	0	1	2	0	0	2	0	4	1	1	1	1	2	0	2	0	
