"УИК №102"	"УИК №103"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №132"	"УИК №133"	"УИК №135"	"УИК №136"	"УИК №138"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №351"	"УИК №369"	"УИК №373"	
2036	989	1458	1204	1320	1235	1171	1085	1092	1255	1184	1208	1085	1109	1072	1213	965	1019	210	1189	292	391	488	492	1491	546	578	2363	1583	1635	2194	1358	985	773	2118	1620	2058	743	512	294	675	250	161	1155	
1900	1000	1410	1150	1310	1050	1160	1050	1050	1260	1100	1160	1150	1100	1050	1200	1000	1000	220	1150	250	450	450	500	1450	550	550	2410	1600	1600	2200	1350	1000	800	2240	1710	2110	750	550	300	650	250	300	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1807	931	821	1040	746	1013	646	998	990	728	1003	673	1031	961	932	1164	899	744	179	979	224	319	242	346	1244	428	389	1271	1439	1370	1442	1306	914	753	1724	1502	2000	682	442	247	638	118	159	1116	
93	22	305	98	27	30	39	26	34	52	64	56	37	32	77	33	25	42	3	154	5	24	44	31	93	36	88	88	56	130	109	44	51	20	300	112	16	27	27	30	12	112	0	39	
0	47	284	12	537	7	475	26	26	480	33	431	82	107	41	3	76	214	38	17	21	107	164	123	113	86	73	1051	105	100	649	0	35	27	216	96	94	41	81	23	0	20	141	45	
93	22	305	98	27	30	39	25	34	52	64	56	37	32	77	33	25	42	3	154	5	24	44	31	93	36	88	88	56	130	109	44	51	20	300	112	16	27	27	30	12	112	0	39	
1807	931	821	1040	746	1013	646	998	990	728	1003	673	1031	961	932	1164	899	744	179	979	224	319	242	346	1244	427	389	1271	1439	1368	1440	1306	914	753	1724	1502	2000	682	442	247	638	118	159	1116	
0	12	16	5	9	0	13	0	9	13	0	5	0	17	6	14	18	7	2	0	0	9	3	4	21	15	6	16	21	6	17	4	3	20	35	80	14	8	5	2	0	1	2	112	
1900	941	1110	1133	764	1043	672	1023	1015	767	1067	724	1068	976	1003	1183	906	779	180	1133	229	334	283	373	1316	448	471	1343	1474	1492	1532	1346	962	753	1989	1534	2002	701	464	275	650	229	157	1043	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	6	8	2	2	4	0	3	2	2	3	2	2	2	2	2	1	1	2	0	0	4	2	6	0	0	8	3	1	6	2	2	3	2	0	1	2	3	3	0	0	3	5	
210	107	226	110	123	118	106	0	87	110	125	118	121	111	114	135	103	110	6	20	3	36	62	68	89	82	0	257	168	192	210	154	109	86	289	217	537	158	35	24	10	35	37	28	
48	25	45	8	20	27	24	18	20	19	22	25	27	25	26	31	24	36	2	8	5	1	9	14	37	27	6	55	38	11	48	35	25	19	3	2	3	25	5	2	0	1	8	20	
1545	764	795	1001	604	848	524	1005	893	614	868	563	870	822	815	962	737	618	171	1097	221	292	207	285	1163	326	454	1011	1199	1279	1237	1095	782	612	1688	1303	1455	510	421	241	640	187	105	960	
0	0	12	0	2	1	7	0	0	7	0	3	0	0	1	0	0	4	0	0	0	1	0	1	3	8	7	5	0	0	18	0	1	0	2	9	3	1	0	1	0	3	3	16	
61	30	11	4	2	33	3	0	5	5	34	2	34	3	32	38	29	3	0	4	0	4	1	2	11	0	0	3	47	6	9	43	31	24	2	2	1	3	0	3	0	3	0	1	
22	11	11	0	7	13	3	0	4	3	14	2	13	12	12	14	10	3	0	2	0	0	0	1	3	4	4	2	18	3	3	16	11	9	3	1	1	2	0	0	0	0	0	6	
10	2	4	2	4	1	1	0	3	7	2	8	1	1	1	1	1	4	0	0	0	0	0	0	4	1	0	2	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	7	
