"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	
1150	1295	880	1574	1113	1541	197	289	1292	1173	1608	100	65	342	476	726	631	601	420	279	394	995	460	260	496	294	763	235	322	388	
1175	1310	900	1580	1140	1580	200	285	1350	1165	1640	105	60	385	490	750	645	615	450	280	405	1030	460	265	510	295	790	240	350	410	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
785	900	546	1042	686	1027	124	222	812	716	867	60	46	179	342	521	358	441	208	210	307	703	338	190	329	213	463	186	230	160	
38	58	52	151	52	95	46	25	82	80	191	21	7	92	70	106	175	84	169	28	46	99	56	22	98	63	190	23	45	127	
352	352	302	387	402	458	30	38	456	369	582	24	7	114	78	123	112	90	73	42	52	228	66	53	83	19	137	31	75	123	
38	58	52	151	52	95	46	25	82	80	191	21	7	92	70	106	175	84	169	28	46	99	56	22	98	63	190	23	45	127	
785	900	546	1042	686	1027	124	222	812	716	867	60	46	179	342	521	358	441	208	210	307	703	338	190	329	213	463	186	230	160	
9	9	5	16	11	10	0	3	20	9	56	1	1	1	2	4	2	0	1	0	0	8	2	1	3	1	2	0	1	1	
814	949	593	1177	727	1112	170	244	874	787	1002	80	52	270	410	623	531	525	376	238	353	794	392	211	424	275	651	209	274	286	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	5	2	7	11	0	2	8	3	7	1	0	2	1	6	0	3	3	3	0	8	0	0	1	1	4	1	2	2	
177	220	116	238	152	236	17	25	123	90	93	4	2	22	53	94	34	34	11	25	22	98	21	20	23	32	41	30	28	33	
43	57	50	65	54	87	12	27	105	85	65	1	5	8	28	39	34	40	9	6	14	60	18	21	8	16	29	8	13	17	
532	642	405	830	492	740	140	184	595	583	823	70	44	237	317	464	458	433	350	201	312	610	351	168	381	216	564	170	227	230	
45	8	4	14	6	20	1	1	17	6	5	4	1	1	3	9	2	4	0	1	3	5	0	0	2	1	3	0	0	2	
5	11	4	15	8	9	0	3	10	5	5	0	0	0	6	6	0	9	3	1	2	7	2	2	2	4	6	0	3	1	
2	4	3	8	5	5	0	0	13	9	3	0	0	0	0	4	1	2	0	0	0	3	0	0	7	2	4	0	1	0	
4	4	6	5	3	4	0	2	3	6	1	0	0	0	2	1	2	0	0	1	0	3	0	0	0	3	0	0	0	1	
