"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	
321	388	373	411	286	44	713	338	402	672	72	125	353	1554	716	833	770	203	263	
322	394	374	415	288	51	709	332	401	678	75	131	361	1545	719	806	767	207	264	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
256	335	330	361	262	40	589	300	340	595	69	104	296	1045	620	674	660	159	226	
41	37	26	29	11	4	86	21	40	41	2	13	42	171	29	51	35	20	22	
25	22	18	25	15	7	34	11	21	42	4	14	23	329	70	81	72	28	16	
41	37	26	29	11	4	86	21	40	41	2	13	42	171	29	51	35	20	22	
256	335	330	361	262	40	589	300	340	595	69	104	296	1045	620	674	660	159	226	
0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	
297	372	356	390	273	44	675	321	380	636	71	117	338	1214	647	725	695	179	248	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	1	1	1	0	2	2	1	1	0	0	2	5	1	4	2	0	1	
15	13	18	19	9	2	48	16	19	33	1	6	17	63	34	38	36	9	17	
10	10	11	13	7	1	20	11	11	20	2	3	10	44	19	23	22	6	8	
270	342	322	356	256	40	598	290	342	574	68	108	305	1082	586	655	629	162	220	
0	2	1	0	0	0	2	1	2	3	0	0	1	10	2	2	2	0	2	
0	1	2	1	0	0	1	1	2	1	0	0	1	3	2	1	1	1	0	
0	1	1	0	0	0	3	0	1	2	0	0	2	5	1	1	1	1	0	
0	2	0	0	0	1	1	0	2	2	0	0	0	2	2	1	2	0	0	
