"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	
2086	1336	2125	1259	599	607	407	818	238	431	294	547	1254	334	528	194	561	208	114	290	306	420	1052	395	81	150	978	
1850	1150	1900	1300	550	550	400	750	200	400	300	550	1200	300	500	200	550	200	110	290	300	400	970	400	90	180	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1318	775	1225	864	402	317	216	532	163	275	201	300	674	160	348	102	386	151	72	220	210	239	616	235	61	109	644	
125	73	71	34	20	92	21	38	10	17	18	32	120	43	50	27	59	15	13	33	14	37	117	10	5	15	47	
407	302	604	402	128	141	163	180	27	108	81	218	406	97	102	71	105	34	25	37	76	124	237	155	24	56	209	
125	73	71	34	20	92	21	38	10	17	18	32	120	43	50	27	59	15	13	33	14	37	117	10	5	15	47	
1318	775	1225	864	402	317	216	532	163	275	201	300	674	160	348	102	386	151	72	220	210	239	616	235	61	109	644	
28	6	10	10	1	2	2	3	0	8	4	7	13	4	3	1	3	0	0	2	4	0	12	1	0	3	10	
1415	842	1286	888	421	407	235	567	173	284	215	325	781	199	395	128	442	166	85	251	220	276	721	244	66	121	681	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	5	11	5	4	1	1	2	1	0	0	2	5	1	1	2	2	0	1	3	3	5	3	0	0	0	3	
356	248	402	270	88	81	44	128	17	67	11	79	143	22	74	26	37	11	3	21	46	50	247	64	7	10	180	
131	96	136	72	35	28	18	38	18	33	9	35	69	17	30	6	31	12	7	23	17	42	74	16	6	6	60	
884	477	696	530	283	293	166	388	133	179	190	199	542	157	282	91	361	142	73	199	147	170	389	159	49	102	431	
9	3	12	4	2	1	2	3	3	1	4	2	10	1	2	1	6	0	0	2	1	2	7	2	0	2	1	
12	6	16	3	4	3	1	2	1	3	0	4	1	0	4	0	2	0	1	2	4	6	0	1	4	0	3	
8	4	7	3	3	0	3	5	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	2	
6	3	6	1	2	0	0	1	0	0	1	3	11	0	2	1	3	0	0	1	1	1	0	1	0	1	1	
