"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №682"	
439	1171	182	280	619	859	1615	1110	379	182	523	317	618	339	532	216	441	1490	449	547	438	245	643	958	285	606	210	152	1209	57	
450	1200	180	300	600	850	1600	1100	350	180	500	300	600	350	550	200	450	1500	450	550	450	200	650	1000	250	600	200	150	1250	59	
30	59	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	69	0	0	0	57	0	0	0	44	0	
198	487	62	101	307	511	954	723	252	105	300	172	397	186	266	119	265	737	252	298	152	111	333	411	116	305	110	86	517	45	
11	46	9	6	19	7	16	16	2	9	17	12	19	9	21	10	20	71	24	25	16	9	39	45	9	16	12	5	54	11	
211	608	109	141	274	332	630	361	96	66	183	116	184	155	263	71	165	692	174	210	213	80	278	544	68	279	78	59	635	3	
41	105	9	58	19	7	16	16	2	9	17	12	19	9	21	10	20	71	24	42	85	9	39	45	66	16	12	5	98	11	
198	487	62	101	307	510	954	723	252	105	300	172	397	186	266	119	265	737	252	298	152	111	333	411	116	305	110	86	517	45	
3	12	1	0	13	13	21	10	6	1	0	1	8	11	6	3	8	15	4	3	2	3	4	10	1	5	0	0	6	0	
236	580	70	159	313	504	949	729	248	113	317	183	408	184	281	126	277	793	272	337	235	117	368	446	181	316	122	91	609	56	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	0	2	3	5	8	6	1	0	2	1	5	1	1	1	1	7	2	0	3	0	4	6	0	0	0	0	2	0	
14	59	7	9	25	103	152	120	44	8	26	21	48	19	29	11	29	55	23	37	12	3	33	54	10	28	3	4	99	3	
35	83	4	18	23	45	76	58	29	8	42	9	35	10	28	14	22	71	26	41	34	16	45	36	26	32	14	2	66	7	
178	415	58	130	253	324	675	505	163	92	240	147	310	150	217	99	221	633	216	253	181	95	272	341	140	248	103	82	418	43	
4	6	0	0	3	15	21	19	4	3	4	1	5	3	5	0	3	9	4	2	3	1	8	7	4	4	0	1	6	0	
2	8	0	0	4	3	8	9	1	1	1	3	0	1	1	0	0	5	0	1	0	0	4	0	1	2	2	2	8	0	
1	2	0	0	1	5	5	8	5	1	2	1	0	0	0	0	1	7	1	2	1	1	1	2	0	2	0	0	6	2	
0	1	1	0	1	4	4	4	1	0	0	0	5	0	0	1	0	6	0	1	1	1	1	0	0	0	0	0	4	1	
