"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	
721	315	645	973	201	164	205	244	275	348	260	225	274	252	
720	320	660	1000	200	160	200	250	260	360	270	240	300	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
593	260	530	774	172	126	135	215	239	286	213	169	195	237	
77	41	24	90	11	29	50	10	13	31	30	40	62	3	
50	19	106	136	17	5	15	25	8	43	27	31	43	20	
77	41	24	90	11	29	50	10	13	31	30	40	62	3	
593	260	530	774	172	126	135	215	239	286	213	169	195	237	
6	4	0	7	0	0	0	2	0	3	0	1	0	1	
664	297	554	857	183	155	185	223	252	314	243	208	257	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	4	8	0	0	0	1	1	1	0	1	4	0	
37	11	44	70	7	8	14	20	26	12	12	23	9	3	
19	18	17	37	9	8	4	14	10	24	11	12	4	9	
599	266	475	723	159	132	163	183	210	276	218	170	239	227	
3	1	6	7	1	2	1	2	4	1	1	0	0	0	
3	0	1	6	0	1	3	0	1	0	1	0	1	0	
1	0	4	4	2	4	0	0	0	0	0	2	0	0	
0	0	3	2	5	0	0	3	0	0	0	0	0	0	
