"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	
1852	1611	1515	2893	2480	2726	2171	2527	2899	1793	1810	2821	1891	1971	1907	632	1740	1600	
1950	1690	1600	2750	2330	2510	2190	2510	2810	1780	1800	2840	1900	2010	1990	650	1780	1710	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1213	989	1010	1866	1667	1705	1333	1606	1908	1243	1107	1929	1273	1307	1299	403	1226	1094	
58	43	59	48	32	44	37	86	131	39	27	31	95	44	64	13	84	38	
679	658	531	836	631	761	820	818	771	498	666	880	532	659	627	234	470	578	
58	43	59	48	32	44	37	86	131	39	27	31	95	44	64	13	84	38	
1213	989	1010	1866	1667	1704	1333	1604	1908	1243	1106	1929	1273	1307	1299	403	1225	1094	
19	21	31	17	27	18	22	22	36	19	21	27	11	32	13	6	18	18	
1252	1011	1038	1897	1672	1730	1348	1668	2003	1263	1112	1933	1357	1319	1350	410	1291	1114	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	4	6	9	6	5	7	12	13	5	3	17	8	10	2	2	3	2	
160	170	161	349	238	261	223	221	335	167	180	311	214	196	207	72	188	168	
103	113	83	151	130	125	101	124	148	83	91	125	114	130	120	55	95	82	
944	690	776	1348	1244	1300	981	1257	1445	969	820	1435	987	955	984	273	982	845	
10	11	6	18	22	26	13	22	27	14	5	21	12	9	9	6	4	9	
13	8	2	4	9	6	13	12	7	13	7	7	3	5	11	2	11	2	
9	8	3	8	15	2	4	6	12	5	2	13	12	3	13	0	5	3	
5	7	1	10	8	5	6	14	16	7	4	4	7	11	4	0	3	3	
