"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	
1913	1719	211	166	247	305	971	232	119	79	127	352	75	143	142	70	191	79	157	171	188	93	140	91	333	194	114	237	103	98	
1550	1386	177	123	202	250	771	169	93	73	96	279	62	114	122	65	152	65	134	140	147	75	110	80	270	147	95	196	80	78	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1048	996	124	72	101	190	609	125	56	37	71	221	49	70	65	40	117	47	88	53	95	63	70	52	191	134	62	83	27	40	
128	129	31	35	47	33	86	37	25	15	25	39	9	17	20	7	16	5	34	52	32	11	28	5	47	10	23	89	27	27	
374	261	22	16	54	27	76	7	12	21	0	19	4	27	37	18	19	13	12	35	20	1	12	23	32	3	10	24	26	11	
128	129	31	35	47	33	86	37	25	15	25	39	9	17	20	7	16	5	34	52	32	11	28	5	47	10	23	89	27	27	
1048	996	124	72	101	190	609	125	56	37	71	221	49	70	65	40	117	47	88	53	95	63	70	52	191	134	62	83	27	40	
11	12	1	2	0	5	7	2	0	0	1	1	0	1	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	
1165	1113	154	105	148	218	688	160	81	52	95	259	58	86	85	47	133	52	121	105	127	72	97	57	238	143	85	172	54	67	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	0	0	0	0	3	0	0	0	0	5	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	1	
169	114	10	17	16	26	97	11	4	6	5	27	0	4	5	2	16	7	10	2	13	7	14	10	6	9	7	7	5	9	
85	75	8	7	8	28	45	9	3	0	8	11	9	6	7	2	7	5	9	4	14	7	4	5	14	13	3	11	1	3	
900	901	134	81	120	161	532	138	74	46	82	213	49	76	73	43	106	38	98	99	99	55	76	41	216	114	75	152	48	54	
2	8	1	0	0	2	7	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	3	0	2	2	0	2	0	0	
1	6	0	0	3	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	0	3	0	0	0	0	
1	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
