"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №2287"	"УИК №2288"	
2065	2326	1045	1990	1389	1877	1143	1544	1276	1186	2076	1265	988	2211	1410	1241	1520	2139	1862	1892	1156	1170	1035	1771	1914	2005	1843	1579	1601	1766	1520	1388	1874	1919	1773	1811	975	2230	2267	2376	2300	1122	1660	1811	1974	1623	1557	1583	1375	1899	2239	1438	702	554	1265	795	1884	1015	1316	1696	1860	1618	1606	1389	1771	1487	1147	1630	1538	974	1031	1072	1764	1480	1448	1400	562	767	258	652	915	784	
1530	1770	780	1500	1050	1400	830	1160	960	890	1570	950	720	1640	1070	950	1130	1540	1420	1430	870	870	770	1340	1550	1520	1390	1190	1210	1350	1160	1040	1430	1460	1350	1390	730	1670	1710	1800	1760	850	1260	1360	1480	1220	1180	1210	960	1450	1700	1090	520	420	940	590	1400	710	980	1300	1350	1220	1230	1070	1360	1130	870	1230	1170	740	730	810	1350	1140	1100	1070	430	590	200	652	710	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1184	1378	606	1246	848	1115	709	785	600	578	1023	625	476	1233	692	686	854	1183	1146	1160	718	637	600	1042	1103	1228	1090	947	1023	1023	920	820	1219	1247	1186	1102	562	1444	1521	1621	1354	665	1053	1064	1160	944	893	952	829	1099	1330	893	312	262	693	340	914	446	777	947	981	968	1017	863	1018	916	731	811	849	438	562	512	920	708	586	691	238	461	140	652	465	380	
78	67	26	86	51	45	42	41	47	25	104	43	21	37	18	35	80	137	63	49	49	42	48	44	52	65	80	30	49	63	58	67	67	46	51	73	22	55	42	38	73	33	41	47	70	53	49	45	102	44	56	31	14	15	47	28	22	93	37	49	131	45	98	67	34	41	29	32	49	36	89	44	57	40	86	82	123	28	26	0	27	17	
268	325	148	168	151	240	79	334	313	287	443	282	223	370	360	229	196	220	211	221	103	191	122	254	395	227	220	213	138	264	182	153	144	167	113	215	146	167	147	141	333	152	166	249	250	223	238	213	29	307	314	166	194	143	200	222	464	171	166	304	238	207	115	140	308	173	110	387	272	266	79	254	373	392	428	297	69	101	34	0	218	203	
78	67	26	86	51	45	42	41	47	25	104	43	21	37	18	35	80	137	63	49	49	42	48	44	52	65	80	30	49	63	58	67	67	46	51	73	22	55	42	38	73	33	41	47	70	53	49	45	102	44	56	31	14	15	47	28	22	93	37	49	131	45	98	67	34	41	29	32	49	36	89	44	57	40	86	82	123	28	26	0	27	17	
1184	1378	606	1246	848	1113	709	785	600	578	1023	625	476	1233	692	686	854	1183	1146	1160	718	637	600	1042	1103	1228	1090	947	1023	1023	920	820	1219	1247	1186	1102	562	1440	1521	1621	1354	665	1053	1064	1158	944	893	952	829	1099	1330	893	312	262	693	340	914	446	777	947	979	968	1017	863	1018	916	731	811	849	438	562	512	920	708	586	691	238	461	140	652	465	380	
20	31	13	17	17	18	13	23	16	8	28	15	11	18	12	11	27	27	8	11	18	14	10	18	16	11	18	20	15	17	3	14	23	9	27	17	8	22	26	24	31	9	24	21	27	6	22	13	16	5	20	6	5	8	10	7	16	5	13	24	85	11	12	18	14	9	15	17	23	10	15	9	27	15	8	25	6	9	4	25	13	7	
1242	1414	619	1315	882	1140	738	803	631	595	1099	653	486	1252	698	710	907	1293	1201	1198	749	665	638	1068	1139	1282	1152	957	1057	1069	975	873	1263	1284	1210	1158	576	1473	1537	1635	1396	689	1070	1090	1201	991	920	984	915	1138	1366	918	321	269	730	361	920	534	801	972	1025	1002	1103	912	1038	948	745	826	875	464	636	547	950	733	664	748	355	480	162	627	479	390	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	19	6	11	5	14	8	11	5	4	11	4	0	11	3	10	14	6	10	8	4	8	2	4	11	11	6	11	17	15	12	12	17	10	8	14	3	10	21	21	15	5	10	8	13	14	7	11	8	13	13	8	2	4	9	7	5	6	5	7	9	9	15	10	10	8	3	5	3	3	9	7	3	5	3	3	0	7	1	0	1	6	
199	186	87	155	122	174	95	129	69	73	163	81	56	154	100	97	99	170	137	151	82	98	83	118	159	171	159	120	141	132	117	111	149	144	134	131	73	216	230	225	186	72	135	133	145	133	131	145	120	143	159	116	66	31	133	46	118	62	119	163	131	146	146	131	169	134	103	113	127	55	71	65	123	76	98	124	25	42	19	9	50	48	
95	124	65	92	74	85	54	83	55	63	101	55	55	94	50	49	78	110	80	76	34	43	41	72	50	106	56	59	75	55	63	58	73	53	70	63	29	76	87	84	83	46	72	80	64	60	63	64	48	72	74	53	24	20	60	31	85	51	64	65	72	69	78	65	81	46	55	81	78	39	49	44	83	73	67	74	34	47	22	80	47	31	
884	1023	434	999	631	839	553	549	477	432	786	486	367	926	511	528	682	965	929	917	595	478	488	830	863	941	887	733	770	817	755	658	961	1014	940	898	460	1090	1121	1222	1040	533	807	825	930	752	669	707	681	869	1051	692	215	204	504	268	676	397	581	690	780	729	816	680	741	735	546	606	649	357	486	416	714	557	473	524	289	375	114	504	375	297	
25	16	12	23	17	9	9	16	3	9	13	8	4	19	8	11	12	14	16	19	9	15	7	19	23	17	22	14	18	18	11	12	27	16	16	15	5	28	27	27	25	11	16	16	13	12	17	17	23	21	31	14	7	3	9	5	11	6	9	16	10	22	13	13	12	8	11	7	10	3	5	2	4	7	6	5	1	2	0	25	3	2	
