"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №1481"	
2488	2546	1283	2286	2281	1658	2170	1917	1898	2613	1817	1429	2261	2390	1481	1925	2462	1869	1929	1724	2119	1820	1750	1931	585	2255	2013	1237	2534	2647	2334	2623	2650	2646	2066	2013	1193	1892	1348	2169	1433	1100	2580	442	2713	2296	582	1946	1816	2487	1818	1918	1970	2667	2469	1903	2039	1643	2503	2534	1725	2049	1147	2119	2060	2536	2041	1853	2023	2482	1266	1070	1166	916	585	795	517	318	375	730	138	77	576	383	1248	1389	381	284	301	341	723	164	871	465	366	748	427	265	104	529	162	454	1735	
2250	2500	1250	2250	2250	1625	2000	1875	1750	2500	1750	1250	2250	2250	1500	1750	2250	1875	1875	1750	2000	1750	1625	1875	700	2125	2000	1250	2500	2500	2250	2500	2500	2750	2000	2000	1125	1750	1250	2000	1500	1125	2500	400	2500	2500	500	1875	1750	2500	1750	2000	2000	2500	2500	1875	2000	1625	2500	2500	1750	2000	1125	1875	2000	2500	2000	1750	2000	2250	2000	1050	1039	917	588	829	547	331	383	769	121	79	597	389	1289	1395	398	322	306	350	730	147	911	518	387	795	493	286	124	540	161	497	1750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1344	1461	743	1133	1111	918	1264	1195	1044	1557	1092	983	1312	1381	931	1159	1414	1033	1212	1078	1232	1058	973	1144	508	1288	1053	717	1293	1424	1173	1394	1380	1537	915	1080	751	1038	730	1098	837	581	1570	316	1596	1378	297	1152	1229	1554	1056	1235	1125	1568	1452	1285	1327	1046	1597	1619	1062	1357	685	1345	1334	1508	1122	1324	1274	1500	1242	616	533	519	252	315	434	256	166	524	114	54	401	270	601	852	268	212	203	242	563	136	622	338	298	550	258	155	75	444	125	304	869	
41	41	16	40	47	10	31	24	45	33	40	14	58	28	13	141	93	37	21	27	31	22	54	70	74	68	74	29	43	83	54	51	68	67	45	93	48	99	59	82	44	50	22	15	51	60	192	9	92	39	180	29	39	21	53	20	10	27	54	28	16	19	8	43	17	29	35	10	22	12	24	43	58	58	70	164	43	29	56	47	0	3	56	40	116	39	19	17	32	31	16	6	53	35	32	50	62	15	12	22	25	55	33	
865	998	491	1077	1092	697	705	656	661	910	618	253	880	841	556	450	743	805	642	645	737	670	598	661	118	769	873	504	1164	993	1023	1055	1052	1146	1040	827	326	613	461	820	619	494	908	69	853	1062	11	714	429	907	514	736	836	911	995	570	663	552	849	853	672	624	432	487	649	963	843	416	704	738	734	391	448	340	266	350	70	46	161	197	7	22	140	79	572	504	111	93	71	77	151	5	236	145	57	195	173	116	37	74	11	138	848	
41	41	16	40	47	10	31	24	45	33	40	14	58	28	13	141	93	37	21	27	31	22	54	70	74	68	74	29	43	83	53	51	68	67	45	93	48	99	59	82	44	50	22	15	51	60	192	9	92	39	180	29	39	21	53	20	10	27	54	28	16	19	8	43	17	29	35	10	22	12	24	43	58	58	70	164	43	29	56	47	0	3	56	40	116	39	19	17	32	31	16	6	53	35	32	50	62	15	12	22	25	55	33	
1344	1460	743	1133	1111	917	1264	1195	1044	1557	1092	983	1312	1381	931	1157	1414	1033	1212	1078	1232	1058	973	1144	508	1288	1053	716	1292	1424	1171	1394	1380	1537	915	1080	751	1038	730	1098	837	581	1570	316	1596	1378	297	1152	1229	1554	1049	1235	1125	1568	1452	1285	1326	1046	1595	1619	1062	1357	685	1345	1334	1508	1122	1324	1274	1500	1242	616	533	519	252	315	434	256	166	524	114	54	401	270	601	852	268	212	203	242	563	136	622	338	298	550	258	155	75	444	125	304	869	
11	23	9	18	12	9	20	17	12	25	18	11	11	22	11	9	10	10	18	8	19	11	13	23	11	18	23	8	18	8	14	17	19	21	9	19	16	21	5	20	8	5	21	5	17	11	5	11	12	13	0	20	11	7	13	12	20	23	13	15	12	18	11	17	19	17	20	10	15	13	18	6	5	6	6	4	15	1	0	6	0	0	5	3	9	7	2	0	0	7	7	0	5	1	0	5	2	1	1	2	0	6	13	
1374	1478	750	1155	1146	918	1275	1202	1077	1565	1114	986	1359	1387	933	1289	1497	1060	1215	1097	1244	1069	1014	1191	571	1338	1104	737	1317	1499	1210	1428	1429	1583	951	1154	783	1116	784	1160	873	626	1571	326	1630	1427	484	1150	1309	1580	1229	1244	1153	1582	1492	1293	1316	1050	1636	1632	1066	1358	682	1371	1332	1520	1137	1324	1281	1499	1248	653	586	571	316	475	462	284	222	565	114	57	452	307	708	884	285	229	235	266	572	142	670	372	330	595	318	169	86	464	150	353	889	
